catalog_record_id,object_name,source_id,spectral_type,ra_deg,dec_deg,l_deg,b_deg,parallax,parallax_error,pmra,pmdec,ruwe,visibility_periods_used,phot_bp_rp_excess_factor,quality_pass,zero_point_boundary_flag,membership_probability,membership_probability_astrometric,membership_probability_mc_se,membership_basis,recovered_p_gt_0_5,gate_disposition_reason
21,J20333979+4122523,2067878357612771200,,308.41582,41.38116,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
22,J20321470+4127396,2067835785897573120,,308.06123,41.46103,80.23014943845813,1.0264631016686216,0.7237992530168696,0.094687246,-2.31131668024811,-4.570674709198056,8.654804,26.0,1.3298694,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=8.655 >= 1.4
23,ALS21109,2067830563217283968,,308.1787,41.33791,80.18331535711019,0.8824899405676755,0.5490233241722267,0.024121063,-2.41963413785744,-4.295310501592027,2.4909945,28.0,1.3413495,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.491 >= 1.4
24,J20305938+4135599,2068034694421980416,,307.74743,41.59998,80.20338944255843,1.2979940696953884,0.6023469211122705,0.024129387,-3.3543811226621845,-3.794684105585608,1.7059824,26.0,1.5835601,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.706 >= 1.4
25,J20334758+4109064,2067767375658346624,,308.44828,41.15178,80.1543482837924,0.6088299546482531,0.5958002227876715,0.04385793,-2.034928528578142,-4.390311231988954,4.636071,28.0,1.4010522,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=4.636 >= 1.4
26,J20325440+4115219,2067783112420028160,,308.22668,41.25607,80.13892466541637,0.8048961411436157,0.4242378777148018,0.36572015,-3.698778842686022,4.895182350885378,9.079389,27.0,1.8171142,False,True,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=9.079 >= 1.4
27,MT91-129,2067848219824399616,,307.92346,41.47248,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
28,J20313364+4136046,2067852416012277760,,307.89017,41.6013,80.26741370518111,1.212693001965426,1.0946383222804223,0.16172692,-0.9501806116051148,-6.721493393874445,10.725239,26.0,1.4504976,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=10.725 >= 1.4
29,Cyg#12,2067782734461462912,,308.17066,41.24147,80.1021211731798,0.830085987477096,0.5895398622695451,0.05177404,-1.7034811773542058,-3.412026742071592,1.2461898,27.0,1.6233957,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
1,Cyg#7,2067785070923663104,,308.30879,41.33942,80.24259167849122,0.8048432030034791,0.5831901857568086,0.013784154,-2.735076951835013,-4.497917505459936,1.090566,27.0,1.3438431,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
2,Cyg#22AB,2067781905528395264,,308.28666,41.22172,80.13813789620643,0.7483544847134673,0.5311467423385032,0.024426006,-2.639662554361761,-4.679402464114908,1.4221382,27.0,1.6622128,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.422 >= 1.4
3,Cyg#8C,2067784246289931776,,308.32493,41.30866,80.22508736612087,0.7768040224889278,0.593184153431631,0.012483848,-2.6310851937410327,-4.3998182551320575,0.97158664,28.0,1.3208894,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
4,Cyg#9,2067783623515353728,,308.29474,41.25228,80.16626707129053,0.7614887614448129,0.521364159292878,0.019645052,-2.7660096932841682,-4.686670157987033,1.1741054,27.0,1.4193767,True,False,0.9171,0.9171,0.002757310102255457,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
5,Cyg#11,2067888218857234304,,308.53548,41.6165,80.56634357166848,0.8336262712545087,0.5595342804778856,0.014283248,-2.3282315344391638,-3.946639269122063,1.2050154,26.0,1.3519375,True,False,0.9994,0.9994,0.0002448754785600316,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
6,A37,2064838375463800448,,309.01875,40.93695,80.24005814641507,0.13561543497177517,0.6320445832227305,0.018021375,4.726479474860733,2.322316093256582,1.0311239,27.0,1.4176519,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
