source_id,pmra,pmdec,z_pmra,z_pmdec,membership_probability,subgroup,anchor_quality_exempt,ruwe,membership_basis,anchor_status,outlier_rule
2067783112420028160,-3.698779,4.895182,-3.411002,29.779324,1.000000,unassigned,True,9.079389,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2067852416012277760,-0.950181,-6.721493,6.089625,-7.797122,1.000000,unassigned,True,10.725239,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2068155125305302144,-2.575056,-2.322230,0.473184,6.433168,1.000000,unassigned,True,2.439221,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2067775823854708096,-2.471382,-2.615887,0.831538,5.483278,1.000000,unassigned,True,1.415218,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2067425461902141056,-0.185539,-3.180131,8.732635,3.658118,1.000000,unassigned,True,1.721365,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2067769265443613568,0.328664,-3.181277,10.509997,3.654410,1.000000,unassigned,True,1.433911,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
2067787746683936640,0.439061,-3.348346,10.891590,3.113993,1.000000,unassigned,True,2.487957,Berlanas2019_spectroscopic_member_manual_quality_exception,spectroscopic_quality_exception,"abs(z_pmra)>5 or abs(z_pmdec)>5; z relative to 1,331 clean automatic P>0.5 members"
