k,ari_mean,ari_p10,bic_mean,bic_std,min_component_stability,median_component_stability
2,0.7211551884765188,0.45551032359763116,14134.163397271028,72.81916670034659,0.8382608695652174,0.8667718377750051
3,0.9959262994432404,0.9909653857725843,13998.235556905078,0.05372412194050189,0.9968067226890757,0.9980281690140845
4,0.636842877238493,0.3656535186970077,13831.15278343442,81.28015318876373,0.7712051725434178,0.8009865522212132
5,0.6969288790964708,0.5210946156467444,13776.15240644498,27.457983838944404,0.7679040511727079,0.8445783791171246
6,0.8004415430531847,0.5748578742883512,13777.335680003038,37.077624768903924,0.7338317757009347,0.8836577129535673
7,0.6969265713003284,0.5657862066978993,13786.873743162705,50.855381242447784,0.577381838811474,0.7787995819439606
8,0.633181783253933,0.510538847541164,13795.746777019262,40.83114523774241,0.5618014916810098,0.685654028162181
