R_V,separation_lo_deg,separation_hi_deg,separation_center_deg,n_pairs,sigma_mag
3.0,0.0,0.05,0.03562457216660921,383,0.37160965261061696
3.0,0.05,0.1,0.07689192395289875,832,0.5090248899487536
3.0,0.1,0.15,0.12600617113870433,1037,0.6206909203364346
3.0,0.15,0.2,0.17603220808712777,1154,0.7918408403011268
3.0,0.2,0.3,0.24662073502212234,2264,1.0635135224632546
3.0,0.3,0.4,0.34505716769726286,1783,1.0666770163084767
3.0,0.4,0.5,0.4434563085462879,1318,1.0590229609871216
3.0,0.5,0.7,0.5728373128797735,1277,1.0213515944381022
3.0,0.7,1.0,0.7959420298681958,615,1.1047435280060631
3.0,1.0,2.0,1.1393972458856236,363,1.3770272098290546
3.1,0.0,0.05,0.03562457216660921,383,0.3719101276191918
3.1,0.05,0.1,0.07689192395289875,832,0.5100392327670492
3.1,0.1,0.15,0.12600617113870433,1037,0.6222451648670437
3.1,0.15,0.2,0.17603220808712777,1154,0.7850301786429359
3.1,0.2,0.3,0.24662073502212234,2264,1.0717767274744299
3.1,0.3,0.4,0.34505716769726286,1783,1.070158874780757
3.1,0.4,0.5,0.4434563085462879,1318,1.066122432997564
3.1,0.5,0.7,0.5728373128797735,1277,1.0260685415464044
3.1,0.7,1.0,0.7959420298681958,615,1.1143519462284566
3.1,1.0,2.0,1.1393972458856236,363,1.4066680771749178
3.5,0.0,0.05,0.03562457216660921,383,0.40182316297753223
3.5,0.05,0.1,0.07689192395289875,832,0.5138200772385675
3.5,0.1,0.15,0.12600617113870433,1037,0.6364855629286983
3.5,0.15,0.2,0.17603220808712777,1154,0.8055137942242218
3.5,0.2,0.3,0.24662073502212234,2264,1.0759254319874136
3.5,0.3,0.4,0.34505716769726286,1783,1.0679646814936077
3.5,0.4,0.5,0.4434563085462879,1318,1.069076388907106
3.5,0.5,0.7,0.5728373128797735,1277,1.0509126095248162
3.5,0.7,1.0,0.7959420298681958,615,1.1357282080719415
3.5,1.0,2.0,1.1393972458856236,363,1.4326559389314746
