subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,truth_age_nodes_Myr,truth_age_prior_weights,truth_age_log_marginal_likelihood,truth_age_posterior_weights,truth_age_posterior_mean_Myr,truth_age_prior_mean_Myr,truth_age_posterior_map_Myr,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,2.5,0.7940151515151518,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,[3.98107171],[1.],[-591.6645738],[1.],3.9810717055349696,3.9810717055349705,3.9810717055349696,1231.8119798390803,1179.223293600337,1114.8552442447372,1247.3883904647003,1053.3143854230284,1312.0964539607678,9.642489823657085,5,0.08602256903702872,-0.6,0.208,2.1805176593553166,True
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,2.5,0.7940151515151518,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,[3.98107171],[1.],[-589.43649424],[1.],3.9810717055349696,3.9810717055349705,3.9810717055349696,1788.565858861407,1675.3464966636334,1581.0511661624612,1774.7546945220347,1491.1639132143362,1870.6743717323382,6.160915263240146,5,0.2908746246757918,-0.4285714285714286,0.3965014577259473,1.4637999791931917,True
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,2.5,0.7940151515151518,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,[3.98107171],[1.],[-589.6791459],[1.],3.9810717055349696,3.9810717055349705,3.9810717055349696,2563.7141103113577,2322.327114707112,2182.515932042254,2470.255934079084,2052.136220228817,2614.278016432888,9.451117168470933,5,0.09236799280005169,0.14285714285714288,0.7871720116618076,2.380494763178239,True
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8008555555555557,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.55555556 0.22222222 0.11111111 0.11111111],[-481.53639321 -479.71882307 -476.30277483 -476.52659062],[0.01409806 0.03472002 0.52859228 0.42258965],4.1597756222577305,3.4839515236175562,3.9810717055349696,1178.6879786886018,1115.2459464351582,1043.7115119643388,1192.2701327514146,977.9203119995689,1268.2174667251234,10.737845673671176,5,0.056832740458658916,-0.942857142857143,0.004804664723032055,2.275145412632257,False
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8008555555555557,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.55555556 0.22222222 0.11111111 0.11111111],[-477.88188746 -476.46826544 -473.71091751 -474.02937682],[0.03996448 0.06571469 0.51776591 0.37655492],4.102815556093493,3.4839515236175562,3.9810717055349696,1729.0045547617306,1592.1774922532059,1484.443002118559,1708.5828909762195,1387.6347700826952,1829.4357936412164,6.92594169696567,5,0.22620664487141542,-0.7142857142857143,0.11078717201166179,2.1347950967968465,True
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8008555555555557,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.55555556 0.22222222 0.11111111 0.11111111],[-475.6199393  -474.60564615 -472.66397198 -472.98786585],[0.11457983 0.12637759 0.44045186 0.31859072],3.9873007630389825,3.4839515236175562,3.9810717055349696,2516.689138197841,2223.1005808509053,2052.7419895137427,2408.6136196038956,1905.338533423012,2605.0042037879084,7.563790801774358,5,0.18197122002271288,-0.5428571428571429,0.26570262390670546,2.2467394731724863,True
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7975000000000002,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-462.9753541],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,1344.2487744414968,1258.3957516683236,1180.2073476957858,1341.2982150491982,1105.9709965797283,1419.8803425250312,6.161699271398443,5,0.29080139150786766,-0.8285714285714287,0.04156268221574335,1.8610891332891162,False
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7975000000000002,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-461.73986209],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,2042.0143013703598,1846.9548697718071,1726.4674857093562,1972.014692206961,1612.9892029812092,2093.639421303977,5.417206920772272,5,0.3671098692518837,-0.3142857142857143,0.5440932944606415,1.3860299800531948,True
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7975000000000002,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-461.71829695],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,3066.3009109201926,2625.6417919498144,2435.0994741961435,2824.500193595206,2258.7143518767593,3015.172011598034,9.7823396366795,5,0.08164277084950564,0.08571428571428573,0.8717434402332361,2.375898075769794,True
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.795121527777778,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,[3.54813389 3.98107171],[0.11111111 0.88888889],[-604.53800084 -598.9249639 ],[4.56037907e-04 9.99543962e-01],3.980874269480786,3.9329675040683907,3.9810717055349696,1282.3697398961447,1225.1217293399864,1158.0533820020607,1294.9281416669942,1096.8443204823081,1364.052448923235,7.453833779256381,5,0.18901595537027238,-0.6,0.208,1.927975288180768,True
CygOB2-A,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.795121527777778,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,[3.54813389 3.98107171],[0.11111111 0.88888889],[-601.62513992 -597.02761991],[0.00125801 0.99874199],3.980527063358291,3.9329675040683907,3.9810717055349696,1869.2169030876128,1745.9254779372714,1646.6071490791114,1847.7996485251474,1556.2177786679083,1950.5123687161067,4.746104703087815,5,0.4476448736087042,-0.3714285714285715,0.4684781341107872,1.3391733966765174,True
CygOB2-A,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.795121527777778,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,[3.54813389 3.98107171],[0.11111111 0.88888889],[-601.01729826 -597.60547785],[0.00410571 0.99589429],3.9792941875914263,3.9329675040683907,3.9810717055349696,2689.8815996745366,2427.395122753043,2278.7078526096825,2577.546402913823,2140.0464505644954,2732.1168684292807,8.871828359213488,5,0.11428700536024168,0.3714285714285715,0.4684781341107872,2.3799271123672474,True
CygOB2-B,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8048989898989899,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.11111111 0.55555556 0.22222222 0.11111111],[-482.15182915 -479.91577283 -475.60274987 -475.26229722],[4.12044082e-04 1.92761637e-02 5.75708532e-01 4.04603260e-01],4.168930731604531,3.7035473838251907,3.9810717055349696,1208.8752211483463,1141.4353707996763,1069.59188962369,1215.1012173644503,1001.4011423064089,1292.4444596053415,9.409572361224566,5,0.09380125838151859,-0.942857142857143,0.004804664723032055,2.521944716893858,False
CygOB2-B,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8048989898989899,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.11111111 0.55555556 0.22222222 0.11111111],[-478.73093768 -476.94174245 -473.34550918 -473.0516016 ],[0.00131564 0.03936817 0.57415549 0.3851607 ],4.1500477798823034,3.7035473838251907,3.9810717055349696,1773.251428630139,1629.0762956575543,1520.868539730598,1740.0722580369998,1420.553441489769,1855.6569857319353,6.138783836379215,5,0.2929479732887663,-0.7142857142857143,0.11078717201166179,2.2710794988085294,True
CygOB2-B,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8048989898989899,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,[3.16227766 3.54813389 3.98107171 4.46683592],[0.11111111 0.55555556 0.22222222 0.11111111],[-476.71680846 -475.37271593 -472.66073315 -472.31894923],[0.00460947 0.0883798  0.53236825 0.37464248],4.121022454675705,3.7035473838251907,3.9810717055349696,2566.045281408422,2258.9772660936815,2094.531120217268,2429.690823222408,1942.0382015108019,2605.2931030332547,7.491092439817643,5,0.18660278187735962,0.08571428571428573,0.8717434402332361,2.2316804001334556,True
CygOB2-C,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.794318181818182,319,256.93180664062504,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-456.21820281],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,1375.6407021139014,1285.7516603599042,1202.9584522387347,1368.4029039864456,1128.5386181585097,1455.3638410443812,5.187263195953225,5,0.3934566253185217,-0.7714285714285715,0.07239650145772594,1.932613729455651,True
CygOB2-C,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.794318181818182,319,256.93180664062504,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-455.45945715],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,2097.429600554387,1890.556426251348,1762.445123158797,2018.1694583899628,1643.94343870155,2154.117262660456,5.569276993939045,5,0.3504091925141227,-0.028571428571428574,0.9571545189504373,1.5555752046510112,True
