alpha,subgroup,age_Myr,turnoff_Msun,k_median,our_rate_SNe_per_Myr,our_mass_Msun,our_rate_per_1e4Msun,bpass_rate_per_1e4Msun,raw_ratio_bpass_over_ours,imf_range_correction,corrected_ratio_bpass_over_ours
2.0,CygOB2-A,4.013878062963179,57.541495313786776,1218.4572137872613,8.933544591184038,9631.420257523474,9.275417697826757,6.000000000000001,0.6468711378255029,1.130402597903032,0.7312248147064389
2.0,CygOB2-B,4.120169709403213,55.050377497981636,1153.8039516507479,8.614192046349432,9120.361903064659,9.445011215459397,6.000000000000001,0.6352559952686267,1.130402597903032,0.7180950273851319
2.0,CygOB2-C,2.5193664962805506,120.0,1291.6206539033174,0.0,10209.748188344785,0.0,8.321212121212122,,1.130402597903032,
2.3,CygOB2-A,4.000440967245572,57.86915641465946,1734.0003876864596,3.7660186379254106,9605.268934601427,3.920784169154221,6.000000000000001,1.530306117639294,1.0235881295900935,1.5664031766546824
2.3,CygOB2-B,4.085800341365191,55.83680591418659,1647.4863007582767,3.6585260804240907,9126.035436455899,4.008888751197838,6.000000000000001,1.496674109055091,1.0235881295900935,1.5319778518936205
2.3,CygOB2-C,2.5166835791737423,120.0,1893.687134389921,0.0,10489.83283566537,0.0,8.321212121212122,,1.0235881295900935,
