subgroup,bin0,bin1,bin2,bin3,bin4,bin5,chi2_p,trend_p,max_abs_residual,pass
CygOB2-A,1.138791499967159,1.4531158583839419,-0.5843028306111347,-0.2787225732551626,0.17111690911059035,1.2017877208383336,0.38025323709531256,0.8717434402332361,1.4531158583839419,True
CygOB2-B,1.1968032467055012,2.0812238925689215,2.5129375169143415,-0.2411885224039169,-0.7920286777328954,-0.5371004332277978,0.02289039910184634,0.11078717201166179,2.5129375169143415,True
CygOB2-C,0.8012877128606238,0.6521569450176856,0.9582275495809733,-0.05243409414772156,0.32630603574877254,1.5216536991174585,0.49198402689733345,0.8717434402332361,1.5216536991174585,True
