subgroup,family,R_V,ratio_alpha_2.0,ratio_alpha_2.3,ratio_alpha_2.6,closing_alpha,inside_branch_grid,turnoff_Msun,effective_completeness
CygOB2-A,MIST,3.0,0.6610346273635097,1.0110993737750646,1.5438681852614495,2.2922080766408843,True,57.565220361889864,0.8341417799075553
CygOB2-A,MIST,3.1,0.6564555680392753,1.0033004909413583,1.5322278100226476,2.297669665771526,True,57.60146123585662,0.8376375480077211
CygOB2-A,MIST,3.5,0.6858148092097954,1.043663120033042,1.5859780664369287,2.2694653418624706,True,57.619525698618666,0.837890317150972
CygOB2-A,PARSEC,3.0,0.5707172610977552,0.874232733539417,1.3347648245247123,2.395288394255871,True,59.06452774556843,0.8252738423879818
CygOB2-A,PARSEC,3.1,0.5658129520115801,0.8654559605584051,1.32167356858311,2.4023851788005124,True,59.70434892054486,0.8308158257739395
CygOB2-A,PARSEC,3.5,0.5930479583159745,0.9026924378701424,1.3680586683983162,2.373868494894098,True,60.82399147486474,0.8333719989702644
CygOB2-B,MIST,3.0,0.6990848190576339,1.058675837809383,1.598640403079367,2.258781715741011,True,61.286176831965314,0.9359241562311096
CygOB2-B,MIST,3.1,0.7130194673052256,1.0784688810912504,1.6258661351457708,2.2452312509683314,True,61.88780538104223,0.9373811602679796
CygOB2-B,MIST,3.5,0.7401326907172644,1.110900724724583,1.6602665893261055,2.2223058798573416,True,69.12996117060038,0.9380623507590774
CygOB2-B,PARSEC,3.0,0.6902743559322547,1.0555475419715117,1.5946992730915086,2.2618156234549396,True,82.00314834051836,0.928252309746054
CygOB2-B,PARSEC,3.1,0.7026767023387945,1.0678260310224414,1.6139331794703091,2.252955220226829,True,71.10112027358689,0.934821329108446
CygOB2-B,PARSEC,3.5,0.6950963382989092,1.0666110644385496,1.6215964392723747,2.2548194429778867,True,110.31534915821896,0.9301042319638142
CygOB2-C,MIST,3.0,0.927035502576408,1.3855642058994837,2.0626766603652684,2.0565580340713425,True,72.06599543130731,0.8388829021792016
CygOB2-C,MIST,3.1,0.9709561479083352,1.457768775946172,2.1922074760741537,2.0217583793231744,True,69.80642667096501,0.8336252384173684
CygOB2-C,MIST,3.5,0.9285293508427486,1.391555617411225,2.079310571246134,2.0549859867813915,True,120.0,0.8415386263134227
CygOB2-C,PARSEC,3.0,0.87578649612516,1.33270045490642,2.017145469010663,2.0947738660225848,True,120.0,0.8327878881750302
CygOB2-C,PARSEC,3.1,0.8930627168783771,1.3599694048178337,2.0597711661511857,2.0806769223446433,True,120.0,0.8309907345107176
CygOB2-C,PARSEC,3.5,0.9606600453848212,1.4421690764264248,2.158243905521635,2.029635515225272,True,120.0,0.835606643988871
