subgroup,family,R_V,age_fit_Myr,age_isochrone_Myr,primary_mass,n_injected,n_query,n_quality,n_cmd_ready,n_membership,n_recovered,query_fraction,quality_fraction,cmd_ready_fraction,membership_fraction,recovery_fraction,recovery_wilson95_lo,recovery_wilson95_hi,recovery_isotonic
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.0,400,399,332,332,323,323,0.9975,0.83,0.83,0.8075,0.8075,0.766010151768214,0.8431395742629825,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.25,400,399,330,330,320,320,0.9975,0.825,0.825,0.8,0.8,0.7580288635115286,0.836263552128663,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.5,400,398,340,340,334,334,0.995,0.85,0.85,0.835,0.835,0.7954710126340742,0.8681555181641397,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.75,400,400,338,338,328,328,1.0,0.845,0.845,0.82,0.82,0.7793616474280234,0.8545502625881809,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,8.0,400,397,318,318,313,313,0.9925,0.795,0.795,0.7825,0.7825,0.7394863393745473,0.820139018686633,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,8.5,400,400,331,331,323,323,1.0,0.8275,0.8275,0.8075,0.8075,0.766010151768214,0.8431395742629825,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,9.0,400,398,322,322,313,313,0.995,0.805,0.805,0.7825,0.7825,0.7394863393745473,0.820139018686633,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,9.5,400,399,307,307,302,302,0.9975,0.7675,0.7675,0.755,0.755,0.7105566038330045,0.7945919494611584,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,10.0,400,398,307,307,298,298,0.995,0.7675,0.7675,0.745,0.745,0.7000948146222626,0.7852439914838939,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,10.5,400,398,319,319,313,313,0.995,0.7975,0.7975,0.7825,0.7825,0.7394863393745473,0.820139018686633,0.8064705882352942
