family,R_V,alpha,sf_duration_Myr,branch_set,N_SN_mean,P_at_least_one,P_last_SN_within_100kyr,P_last_SN_within_pulsar_window,min_turnoff_Msun,min_dead_progenitor_Msun,fraction_of_SNe_below_52Msun,N_SN_bh_cut_20,N_SN_bh_cut_25,N_SN_bh_cut_30,N_SN_bh_cut_35,N_SN_bh_cut_40,N_SN_bh_cut_45,N_SN_bh_cut_52
MIST,3.0,2.3,0.0,retained,10.302785,0.9999525,0.59141,0.969875,53.61430502829446,53.614307212195236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.0,2.3,1.0,retained,10.3087425,0.9999575,0.579205,0.9534425,44.09626940668486,44.111635729446355,0.03332511215601709,0.0,0.0,0.0,0.0,0.0,0.00104,0.34354
MIST,3.0,2.3,2.0,retained,10.8012375,0.99998,0.5333625,0.9447075,37.83750155720421,37.86751300131586,0.11227185773852302,0.0,0.0,0.0,0.0,0.00924,0.3215075,1.212675
MIST,3.0,2.6,0.0,dropped,3.7201625,0.9748075,0.3199525,0.76164,53.61430502829446,53.61470217062917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.0,2.6,1.0,dropped,3.759535,0.97546,0.29834,0.70376,44.09626940668486,44.16038982722614,0.03708769834567306,0.0,0.0,0.0,0.0,0.0,0.00039,0.1394325
MIST,3.0,2.6,2.0,dropped,4.0228975,0.9815725,0.2628325,0.6848825,37.83750155720421,37.85370701195662,0.12829869515691114,0.0,0.0,0.0,0.0,0.0035075,0.1380775,0.5161325
MIST,3.1,2.0,0.0,retained,27.9510275,1.0,0.85716,0.9996975,53.8364420508179,53.836553588677184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.1,2.0,1.0,retained,27.892185,1.0,0.8714975,0.9994425,44.225537447238935,44.24984529762935,0.026341876765839607,0.0,0.0,0.0,0.0,0.0,0.0017325,0.7347325
MIST,3.1,2.0,2.0,retained,28.74619,1.0,0.848095,0.999205,37.94181491972367,37.989186713753725,0.09407194483860296,0.0,0.0,0.0,0.0,0.01367,0.67872,2.70421
MIST,3.1,2.3,0.0,retained,10.643395,0.9999675,0.557515,0.965645,53.8364420508179,53.83673946793527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.1,2.3,1.0,retained,10.6651625,0.999975,0.5738125,0.9529125,44.225537447238935,44.25615172693498,0.0297142683011159,0.0,0.0,0.0,0.0,0.0,0.0007175,0.3169075
MIST,3.1,2.3,2.0,retained,11.1581,0.999985,0.5469,0.9503375,37.94181491972367,38.011679785635,0.10717886557747287,0.0,0.0,0.0,0.0,0.0062175,0.3070375,1.1959125
MIST,3.1,2.6,0.0,dropped,3.9482425,0.9803475,0.28219,0.73638,53.8364420508179,53.83671679372677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.1,2.6,1.0,dropped,3.996775,0.98149,0.29186,0.70585,44.225537447238935,44.326893638444105,0.03346260422465613,0.0,0.0,0.0,0.0,0.0,0.00032,0.1337425
MIST,3.1,2.6,2.0,dropped,4.2333575,0.985395,0.277765,0.7042425,37.94181491972367,37.96932973148143,0.12208572037679312,0.0,0.0,0.0,0.0,0.0027225,0.134865,0.5168325
MIST,3.5,2.0,0.0,retained,19.4391725,1.0,0.7326725,0.9817375,54.06212731721908,54.062154512516194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.5,2.0,1.0,retained,20.223055,1.0,0.7504575,0.9897025,44.356692672707894,44.37244627779436,0.02215862044582285,0.0,0.0,0.0,0.0,0.0,0.001355,0.448115
MIST,3.5,2.0,2.0,retained,22.7119825,1.0,0.8281375,0.9986875,38.0476248288172,38.07802142182946,0.08205800616480749,0.0,0.0,0.0,0.0,0.0135475,0.4039525,1.8637
MIST,3.5,2.3,0.0,retained,7.345465,0.999215,0.41239,0.8177875,54.06212731721908,54.06213881432123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.5,2.3,1.0,retained,7.655665,0.9995075,0.43585,0.854195,44.356692672707894,44.38564423645829,0.02437802594549265,0.0,0.0,0.0,0.0,0.0,0.000575,0.18663
MIST,3.5,2.3,2.0,retained,8.65345,0.9997775,0.515895,0.9320525,38.0476248288172,38.15241770730867,0.09203699102670035,0.0,0.0,0.0,0.0,0.0057225,0.17941,0.7964375
MIST,3.5,2.6,0.0,dropped,2.70415,0.931915,0.184325,0.5103725,54.06212731721908,54.06226664797303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIST,3.5,2.6,1.0,dropped,2.8085675,0.938265,0.203995,0.5403675,44.356692672707894,44.43790819427012,0.027074300332820912,0.0,0.0,0.0,0.0,0.0,0.0001575,0.07604
MIST,3.5,2.6,2.0,dropped,3.2014275,0.9582675,0.251915,0.651555,38.0476248288172,38.169162924231706,0.10242852602471865,0.0,0.0,0.0,0.0,0.0022375,0.0774825,0.3279175
