family,R_V,alpha,k_total_median,k_total_lo68,k_total_hi68,primary_system_mass_median_Msun,primary_system_mass_lo68_Msun,primary_system_mass_hi68_Msun,multiplicity_adjusted_mass_median_Msun,multiplicity_adjusted_mass_lo68_Msun,multiplicity_adjusted_mass_hi68_Msun,companion_mass_fraction,literature_mass_Msun,within_factor_two_literature
PARSEC,3.0,2.0,3553.691962100722,3427.451824903433,3684.475037307379,23145.649144805247,22323.431024967624,23997.455999505884,28090.523299040662,27092.64516187138,29124.311556546552,0.17603353634940277,16500.0,True
PARSEC,3.0,2.3,5122.720178226968,4928.079176406303,5320.0146235861785,23473.4771736822,22581.587522414662,24377.525510992833,28376.6401311074,27298.45169385903,29469.526972676496,0.17278870700587964,16500.0,True
PARSEC,3.0,2.6,7201.616028360415,6896.755719165978,7504.85746547639,28784.0794621575,27565.585817098723,29996.102650812878,34665.13709628,33197.68529493125,36124.79642128451,0.1696533787761539,16500.0,False
PARSEC,3.1,2.0,3642.458636796973,3514.9223207044083,3774.5751416852854,23723.797822344524,22893.137523989768,24584.289474686604,28792.18860102126,27784.06468457628,29836.517090471734,0.17603353634940277,16500.0,True
PARSEC,3.1,2.3,5257.274949313416,5062.335264597726,5456.595385407327,24090.03795346716,23196.779668763753,25003.36984436075,29121.98873189027,28042.14577971027,30226.098284828986,0.17278870700587964,16500.0,True
PARSEC,3.1,2.6,7382.3878911519705,7077.3426819275855,7692.209343884611,29506.60502345142,28287.37235299423,30744.927822031357,35535.286432504174,34066.94461079583,37026.61880735599,0.1696533787761539,16500.0,False
PARSEC,3.5,2.0,3914.144441504077,3773.679429423973,4061.648223991713,25493.322131271234,24578.455586449767,26454.033085794235,30939.756963314554,29829.43684085698,32105.715769776838,0.17603353634940277,16500.0,True
PARSEC,3.5,2.3,5699.680285353632,5478.91992759473,5927.442675259249,26117.240532517553,25105.666009916746,27160.899970172657,31572.635375884776,30349.762173876883,32834.29542150328,0.17278870700587964,16500.0,True
PARSEC,3.5,2.6,8059.63216633521,7706.858193975217,8414.384062294026,32213.477058199955,30803.47768964117,33631.38197321031,38795.21664184119,37097.13136935511,40502.8226930593,0.1696533787761539,16500.0,False
MIST,3.0,2.0,3441.9102320371626,3319.1992736032857,3562.7789457693043,22417.60047529675,21618.36834701337,23204.833828796043,27206.933126835273,26236.95174586697,28162.3522952459,0.17603353634940277,16500.0,True
MIST,3.0,2.3,4945.246990380161,4766.021709641292,5128.5972843280415,22660.25437818988,21839.003091763625,23500.407419940275,27393.550559700765,26400.755498291837,28409.195593642973,0.17278870700587964,16500.0,True
MIST,3.0,2.6,6923.935040773104,6653.087263429543,7209.085838457549,27674.218622539363,26591.6693843539,28813.93548427204,33328.513557085826,32024.781825643484,34701.09319142317,0.1696533787761539,16500.0,False
MIST,3.1,2.0,3496.7825011035548,3375.326142383674,3625.035185318627,22774.990564571475,21983.9298042927,23610.31665990552,27640.67661645657,26680.612347852762,28654.46313834135,0.17603353634940277,16500.0,True
MIST,3.1,2.3,5020.358181209482,4837.888982980482,5210.865854820947,23004.43105817211,22168.31539881338,23877.380852880167,27809.61920249754,26798.85488334472,28864.91160735384,0.17278870700587964,16500.0,True
MIST,3.1,2.6,7015.213731308979,6730.941418021332,7297.184885665198,28039.049664799815,26902.844010077362,29166.05783644674,33767.8855409481,32399.5345105702,35125.159892213385,0.1696533787761539,16500.0,False
MIST,3.5,2.0,3826.0589521540196,3686.4129016920774,3968.9898256041038,24919.61010080034,24010.077557484685,25850.537115329927,30243.476160902945,29139.629604714286,31373.287937956462,0.17603353634940277,16500.0,True
MIST,3.5,2.3,5566.622530143548,5348.426762505515,5785.524271973314,25507.539422357302,24507.716439088646,26510.597341070083,30835.579299252386,29626.912309649575,32048.156940790836,0.17278870700587964,16500.0,True
MIST,3.5,2.6,7863.09694604833,7523.586360365583,8208.455236621316,31427.947063880314,30070.960015688474,32808.30675531903,37849.19003772031,36214.94836863062,39511.57976287413,0.1696533787761539,16500.0,False
