subgroup,family,R_V,alpha,k_median,turnoff_prior_mean_Msun,predicted_true_living,predicted_observed_living,effective_completeness,observed_living,closure_ratio,closure_ratio_lo68,closure_ratio_hi68,shortfall
CygOB2-A,PARSEC,3.0,2.0,1176.6904105120113,59.06452774556843,126.60451174600846,98.73680676118079,0.7798837924454436,57.845171484375,0.585852159714743,0.5530063278502386,0.6196774014654919,40.891635276805786
CygOB2-A,PARSEC,3.0,2.3,1675.0432642151386,59.06452774556843,79.81932852528577,64.30373895904671,0.8056161351780363,57.845171484375,0.8995615561517349,0.8480239785101079,0.9534024739252261,6.45856747467171
CygOB2-A,PARSEC,3.0,2.6,2326.86366056491,59.06452774556843,50.15589691012619,41.94022072192985,0.8361972032337908,57.845171484375,1.3792290667208797,1.2941968206971424,1.4683526518586207,-15.904950762445154
CygOB2-B,PARSEC,3.0,2.0,1116.3874480811896,82.00314834051836,124.3000468367429,107.51194372354894,0.8649388834483414,76.5325875,0.7118519566234635,0.6666107871407039,0.7596705339928165,30.979356223548933
CygOB2-B,PARSEC,3.0,2.3,1596.5053595159595,82.00314834051836,77.74908196532972,70.22185078413276,0.9031855940813095,76.5325875,1.0898685615004213,1.0167195598768761,1.1679062422793816,-6.31073671586725
CygOB2-B,PARSEC,3.0,2.6,2233.7615943323663,82.00314834051836,48.803079825035944,46.432275054125334,0.9514210008997345,76.5325875,1.6482627097377252,1.523030090515394,1.7820374723919568,-30.10031244587467
CygOB2-C,PARSEC,3.0,2.0,1257.1750355957843,119.99999999999999,146.9740452768701,114.80877943079264,0.7811500269623494,103.540769140625,0.901854106053274,0.8467580361530589,0.9641307667470961,11.268010290167638
CygOB2-C,PARSEC,3.0,2.3,1845.5730027916395,119.99999999999999,92.65015963260213,75.18121605255611,0.8114526337642815,103.540769140625,1.3772159400593347,1.2890332750825353,1.4772396564331056,-28.359553088068893
CygOB2-C,PARSEC,3.0,2.6,2626.26465113763,119.99999999999999,58.44984323455721,49.473340777478036,0.8464238403333816,103.540769140625,2.0928598617653957,1.9460664989195011,2.262182467224627,-54.067428363146966
CygOB2-A,PARSEC,3.1,2.0,1211.5287362170525,59.70434892054486,130.3528971977229,102.07138861434336,0.7830388952500122,59.412929296875,0.5820723133429198,0.5500109907562323,0.615896894612406,42.65845931746836
