subgroup,family,R_V,alpha,bin_index,mass_lo,mass_hi,mass_geometric_center,raw_count,membership_weighted_count,completeness_weighted_imf_integral_per_k,expected_count_at_k_median,pearson_residual
CygOB2-A,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,88,93.28094570312501,0.04809199441916846,83.97358595364867,1.015675907788838
CygOB2-A,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,118,69.640871484375,0.03623845804046091,63.27608800261004,0.8001360237112244
CygOB2-A,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,66,53.845814453125,0.03434370253800224,59.96764933275433,-0.7905386337387751
CygOB2-A,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,52,52.582032031249994,0.031573712805586004,55.130961362228675,-0.34328909835253385
CygOB2-A,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,39,41.037150390625,0.021899910947781466,38.23950486066317,0.4524145431192783
CygOB2-A,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,37,34.94583828125,0.012880925086620178,22.491424674471034,2.6261214166622318
CygOB2-B,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,19,21.805121484375,0.008565349717218935,17.236967109642634,1.1002980554252932
CygOB2-B,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,79,53.238360546875,0.02278157820373256,45.845800483087544,1.0918050073486032
CygOB2-B,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,85,60.558520703125005,0.021182310555664847,42.62742356219643,2.746390708790029
CygOB2-B,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,63,53.22157890625,0.028640970422860942,57.63728060917921,-0.581631590306562
CygOB2-B,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,48,43.818022265625004,0.02391498609469429,48.12667811019044,-0.6210818858639364
CygOB2-B,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,38,34.526075390624996,0.014290676203142604,28.75865245676173,1.0754681018100678
CygOB2-C,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,23,22.35380078125,0.010370772316590665,19.563353780922224,0.6308877923458189
CygOB2-C,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,60,57.37255625,0.029626212253325603,55.886683634284836,0.19875927748034408
CygOB2-C,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,84,46.757945703125,0.023092692895914868,43.561897521773865,0.4842391775649471
CygOB2-C,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,58,45.277009765624996,0.025186338316883317,47.51133588681152,-0.32415143008199027
CygOB2-C,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,49,47.663348828125,0.023407789137097165,44.15629291038216,0.5277720509421414
CygOB2-C,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,50,41.403223046875,0.013300123639074601,25.08926202776389,3.2569828867786406
