wp5_version,family,R_V,alpha,k_total_median,M1_primaries_0p5_to_120_Msun,low_mass_0p08_to_0p5_Msun,M2_primary_system_0p08_to_120_Msun,companion_mass_Msun,M3_multiplicity_adjusted_Msun,M3_over_M1,M1_over_Wright2015,M2_over_Wright2015,M3_over_Wright2015,brown_dwarf_extension_0p01_to_0p08_Msun
repair_v7,PARSEC,3.0,2.0,3580.9093267359895,19625.671037067626,3697.2482761181464,23322.919313185772,4982.7464415261165,28305.66575471189,1.4422776016804766,1.1894346083071288,1.4135102614051982,1.715494894224963,1087.4977949754239
repair_v7,PARSEC,3.0,2.3,5150.319522249333,17053.15289950923,6546.790789886856,23599.94368939609,4929.579407387635,28529.523096783723,1.6729764439985035,1.0335244181520746,1.430299617539157,1.7290620058656803,1925.6538962112863
repair_v7,PARSEC,3.0,2.6,7224.041756827211,17568.375067016215,11305.33760352715,28873.712670543366,5899.371162791758,34773.08383333513,1.9792999466763395,1.0647500040615887,1.7499219800329313,2.107459626262735,3325.31893914274
repair_v7,PARSEC,3.1,2.0,3668.30512502566,20104.65585091054,3787.483446876011,23892.139297786554,5104.355525476069,28996.494823262623,1.4422776016804768,1.2184639909642752,1.4480084422900943,1.7573633226219771,1114.0393042006142
repair_v7,PARSEC,3.1,2.3,5279.614105403025,17481.258434723728,6711.1426485465245,24192.40108327025,5053.3324894726975,29245.73357274295,1.6729764439985035,1.0594702081650744,1.466206126258803,1.7724687013783607,1973.9958712544549
repair_v7,PARSEC,3.1,2.6,7399.125714750911,17994.16726819145,11579.337023785001,29573.504291976453,6042.350022440012,35615.854314416465,1.9792999466763392,1.090555592011603,1.7923335934531184,2.1585366251161493,3405.9123272794463
repair_v7,PARSEC,3.5,2.0,3953.40468381798,21667.18358985536,4081.8455086006375,25749.029098455998,5501.064484691178,31250.093583147176,1.4422776016804768,1.3131626418094158,1.5605472180882423,1.8939450656452834,1200.6221001458334
repair_v7,PARSEC,3.5,2.3,5741.269512619549,19009.83937269052,7297.972524830904,26307.811897521424,5495.201577185107,31803.01347470653,1.6729764439985038,1.1521114771327587,1.5944128422740256,1.927455362103426,2146.6042948237277
repair_v7,PARSEC,3.5,2.6,8095.714715662329,19688.22403689772,12669.471063883078,32357.695100780802,6611.205685602687,38968.900786383485,1.9792999466763395,1.1932256992059225,1.9610724303503517,2.3617515628111203,3726.5611656309297
repair_v7,MIST,3.0,2.0,3461.026449985401,18968.636276506142,3573.4705652186053,22542.106841724748,4815.932394303822,27358.03923602857,1.4422776016804768,1.1496143197882511,1.3661882934378635,1.6580629840017316,1051.0901810913801
repair_v7,MIST,3.0,2.3,4962.115061765759,16429.991670942512,6307.556073829594,22737.547744772106,4749.441295806333,27486.98904057844,1.6729764439985038,0.9957570709662129,1.378033196652855,1.6658781236714206,1855.286096495385
repair_v7,MIST,3.0,2.6,6944.034534899364,16887.416669779293,10867.137454375412,27754.554124154703,5670.708789840573,33425.26291399528,1.9792999466763392,1.023479798168442,1.6820941893427093,2.025773509939108,3196.4280288301784
repair_v7,MIST,3.1,2.0,3521.2663057661985,19298.78917483489,3635.667533255819,22934.456708090707,4899.754658327303,27834.21136641801,1.4422776016804768,1.1696235863536295,1.3899670732176186,1.686921900995031,1069.3846153687673
repair_v7,MIST,3.1,2.3,5045.848813943518,16707.241358572242,6413.993617207604,23121.234975779847,4829.586261309076,27950.821237088923,1.672976443998504,1.0125600823377117,1.4012869682290816,1.6939891658841773,1886.593324217651
repair_v7,MIST,3.1,2.6,7030.834870044322,17098.50914336974,11002.97652147184,28101.48566484158,5741.592570875051,33843.07823571663,1.9792999466763395,1.036273281416348,1.703120343323732,2.0510956506494926,3236.3833347513664
repair_v7,MIST,3.5,2.0,3855.0333471363547,21128.045813096862,3980.278218904114,25108.324032000975,5364.183211507603,30472.50724350858,1.4422776016804766,1.2804876250361734,1.521716608000059,1.8468186208187016,1170.7473945979093
repair_v7,MIST,3.5,2.3,5594.918674334502,18525.259103162647,7111.939732877384,25637.198836040032,5355.123262519919,30992.32209855995,1.6729764439985035,1.1227429759492513,1.5537696264266685,1.8783225514278759,2091.885153469502
repair_v7,MIST,3.5,2.6,7888.78810427472,19184.992682127584,12345.639159301421,31530.631841429007,6442.223151292077,37972.854992721084,1.9792999466763392,1.1627268292198536,1.9109473843290308,2.301385151074005,3631.3101962951637
