scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-C,PARSEC,3.0,2.3,2.0,all_explode,0.3449045,0.0,0.290608,0.103824,0.15074006463874934,0.0,0.0,0.0,1.0,2.0
subgroup,CygOB2-C,PARSEC,3.0,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,0.0,all_explode,1.5126075,1.0,0.776938,0.1505745,0.30731851433360546,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,0.0,all_explode,1.6148015,1.0,0.7509215,0.1476485,0.3120915769649635,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.6,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,1.0,all_explode,1.515744,1.0,0.777895,0.146986,0.31714960927559543,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,1.0,all_explode,1.6300125,1.0,0.75528,0.141626,0.32444703683248144,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.6,1.0,all_explode,0.0027115,0.0,0.0026975,0.002672,0.024461025988561147,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,2.0,all_explode,1.561195,1.0,0.787236,0.147534,0.3371396151233179,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.0,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,2.0,all_explode,1.6876085,1.0,0.775872,0.1387325,0.3511331211484945,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.0,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
