subgroup,family,R_V,alpha,sf_duration_Myr,explodability,quantity,half,full,mean_half,mean_full,abs_drift,rel_drift
CygOB2-C,PARSEC,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.51389,1.515744,0.0018540000000000223,0.0012231616948508602
CygOB2-A,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.629153,1.6300125,0.000859500000000013,0.0005272965698115892
CygOB2-B,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,0.0,0.0,0.002778,0.0027115,6.650000000000015e-05,0.024525170569795373
CygOB2-C,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.561245,1.561195,4.999999999988347e-05,3.2026748740473466e-05
CygOB2-A,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.687058,1.6876085,0.0005505000000001203,0.0003262012486901555
CygOB2-B,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,0.0,0.0,0.121878,0.1222065,0.00032849999999999546,0.002688073056670435
CygOB2-C,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,11.0,11.0,11.023384,11.0182315,0.005152499999999449,0.00046763403001647306
CygOB2-A,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,11.0,11.0,11.311589,11.3107205,0.0008684999999992726,7.678555932836221e-05
CygOB2-B,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,1.0,all_explode,N_SN_median,11.0,11.0,10.935893,10.9344135,0.0014795000000003,0.0001353067542214587
CygOB2-A,PARSEC,3.1,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.0,1.0,all_explode,N_SN_median,11.0,11.0,11.283743,11.283437,0.0003060000000001395,2.7119396332885052e-05
CygOB2-B,PARSEC,3.1,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,1.0,all_explode,N_SN_median,0.0,0.0,0.020541,0.020421,0.00011999999999999858,0.005876303804906643
CygOB2-C,PARSEC,3.1,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,2.0,all_explode,N_SN_median,11.0,11.0,10.861077,10.860348,0.0007289999999997576,6.712492085886728e-05
CygOB2-A,PARSEC,3.1,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.0,2.0,all_explode,N_SN_median,11.0,11.0,11.241998,11.2386185,0.003379500000001201,0.0003007042191174299
CygOB2-B,PARSEC,3.1,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,2.0,all_explode,N_SN_median,1.0,1.0,0.931172,0.931009,0.00016300000000002424,0.00017507886604750786
CygOB2-C,PARSEC,3.1,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.3,0.0,all_explode,N_SN_median,4.0,4.0,4.167034,4.1702435,0.003209499999999643,0.0007696193279839998
CygOB2-A,PARSEC,3.1,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.3,0.0,all_explode,N_SN_median,4.0,4.0,4.264498,4.26466,0.00016200000000043957,3.798661558024311e-05
CygOB2-B,PARSEC,3.1,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.3,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.15986,4.159321,0.0005389999999998452,0.00012958845927011768
CygOB2-A,PARSEC,3.1,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.271318,4.271487,0.00016899999999964166,3.956467618879366e-05
CygOB2-B,PARSEC,3.1,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.3,1.0,all_explode,N_SN_median,0.0,0.0,0.006624,0.006594,2.9999999999999645e-05,0.004549590536851629
CygOB2-C,PARSEC,3.1,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.200983,4.201045,6.199999999978445e-05,1.4758232772984925e-05
CygOB2-A,PARSEC,3.1,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.318521,4.3202645,0.001743500000000786,0.00040356325405557596
CygOB2-B,PARSEC,3.1,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.3,2.0,all_explode,N_SN_median,0.0,0.0,0.34009,0.339429,0.0006610000000000227,0.0019473881135672636
CygOB2-C,PARSEC,3.1,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.53631,1.5360555,0.00025450000000004636,0.00016568411753354378
CygOB2-A,PARSEC,3.1,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.527471,1.5277795,0.00030850000000004485,0.00020192704510045123
CygOB2-B,PARSEC,3.1,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.6,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.541587,1.541307,0.000280000000000058,0.00018166400334265528
CygOB2-A,PARSEC,3.1,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.542823,1.5419295,0.0008935000000001025,0.00057946877597199
CygOB2-B,PARSEC,3.1,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.6,1.0,all_explode,N_SN_median,0.0,0.0,0.002013,0.0020545,4.149999999999987e-05,0.02019956193721094
CygOB2-C,PARSEC,3.1,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.588983,1.5885985,0.00038450000000000983,0.0002420372422610306
CygOB2-A,PARSEC,3.1,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.594395,1.593977,0.00041800000000002946,0.00026223715900544956
CygOB2-B,PARSEC,3.1,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.6,2.0,all_explode,N_SN_median,0.0,0.0,0.120172,0.1200825,8.950000000000624e-05,0.0007453209251973123
CygOB2-C,PARSEC,3.1,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.0,0.0,all_explode,N_SN_median,11.0,11.0,10.946537,10.944634,0.0019029999999986558,0.00017387516110622389
CygOB2-A,PARSEC,3.5,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.0,0.0,all_explode,N_SN_median,4.0,4.0,4.485763,4.486485,0.0007219999999996674,0.00016092776416273927
CygOB2-B,PARSEC,3.5,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.0,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.0,1.0,all_explode,N_SN_median,11.0,11.0,10.848005,10.848922,0.0009169999999993905,8.452452695294431e-05
CygOB2-A,PARSEC,3.5,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.0,1.0,all_explode,N_SN_median,4.0,4.0,4.669298,4.665448,0.0038500000000007972,0.0008252154991333732
CygOB2-B,PARSEC,3.5,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.0,1.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.0,2.0,all_explode,N_SN_median,11.0,11.0,10.772018,10.773576,0.0015580000000010585,0.0001446130792599466
CygOB2-A,PARSEC,3.5,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.0,2.0,all_explode,N_SN_median,5.0,5.0,5.41993,5.419783,0.00014700000000011926,2.712285713286293e-05
CygOB2-B,PARSEC,3.5,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.0,2.0,all_explode,N_SN_median,0.0,0.0,0.107246,0.1076055,0.0003595000000000126,0.003340907295630916
CygOB2-C,PARSEC,3.5,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.3,0.0,all_explode,N_SN_median,4.0,4.0,4.038503,4.0382185,0.0002845000000002429,7.045185890764526e-05
CygOB2-A,PARSEC,3.5,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.3,0.0,all_explode,N_SN_median,1.0,1.0,1.589095,1.5879955,0.001099500000000031,0.0006923823146854201
CygOB2-B,PARSEC,3.5,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.027222,4.028072,0.0008499999999997954,0.00021101906817946536
CygOB2-A,PARSEC,3.5,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.3,1.0,all_explode,N_SN_median,1.0,1.0,1.698646,1.6969105,0.001735500000000112,0.0010227410343681131
CygOB2-B,PARSEC,3.5,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,1.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.082879,4.083465,0.0005860000000001975,0.00014350557675900182
CygOB2-A,PARSEC,3.5,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.3,2.0,all_explode,N_SN_median,2.0,2.0,2.040621,2.041015,0.00039400000000000546,0.00019304120743845855
CygOB2-B,PARSEC,3.5,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,2.0,all_explode,N_SN_median,0.0,0.0,0.033207,0.0331905,1.6500000000002624e-05,0.0004971302029195892
CygOB2-C,PARSEC,3.5,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.389573,1.3899915,0.00041850000000009935,0.00030108097783338914
CygOB2-A,PARSEC,3.5,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.6,0.0,all_explode,N_SN_median,0.0,0.0,0.53513,0.5354725,0.00034250000000002334,0.0006396220160699631
CygOB2-B,PARSEC,3.5,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.402691,1.401186,0.0015049999999998676,0.0010740900922503276
CygOB2-A,PARSEC,3.5,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.6,1.0,all_explode,N_SN_median,0.0,0.0,0.588268,0.588474,0.00020600000000003948,0.0003500579464853833
