subgroup,n_members,median_8th_anchor_separation_deg,prior_mean_spread_mag,frozen_wp3_av_spread_mag,repair_v1_av_spread_mag,collapse_factor,adopted_prior_sigma_mag,variogram_required_sigma_mag,sigma_understatement_factor,vergely_A0_spread_mag,dharma_Acum_spread_mag
CygOB2-A,476,0.08853444777151624,0.9013118336597445,1.86720771587969,0.9165699553122773,2.0371687998910333,0.45281428018337194,0.6352618635038018,1.402919234893709,0.19543489042605966,0.04514004490535373
CygOB2-B,426,0.37674371027759734,0.14566171355057733,1.8601741559135119,0.19560884690655955,9.509662703559103,0.45281428018337194,1.0522485095077356,2.3237970964202286,0.23261068638881222,0.07811702161841727
CygOB2-C,429,0.12987827223655535,0.5850554752062691,1.6669759986816497,0.5748322401228769,2.899934767620749,0.45281428018337194,0.743670550804199,1.6423301634900773,0.23773540405545557,0.07005428981269834
