subgroup,family,R_V,alpha,k_median,turnoff_prior_mean_Msun,predicted_true_living,predicted_observed_living,effective_completeness,observed_living,closure_ratio,closure_ratio_lo68,closure_ratio_hi68,shortfall
CygOB2-A,PARSEC,3.0,2.0,1185.1029848637295,59.06452774556843,127.50965200959132,101.3552163695063,0.7948826992476015,57.845171484375,0.5707172610977552,0.5399389982718947,0.6048219622941426,43.51004488513129
CygOB2-A,PARSEC,3.0,2.3,1682.5188094598789,59.06452774556843,80.17555395214072,66.16678747566812,0.8252738423879818,57.845171484375,0.874232733539417,0.8254549771686474,0.928193237354493,8.321615991293115
CygOB2-A,PARSEC,3.0,2.6,2334.75797734169,59.06452774556843,50.326060098087076,43.33735083629636,0.8611314049188531,57.845171484375,1.3347648245247123,1.254256331871946,1.4222146992268836,-14.507820648078642
CygOB2-B,PARSEC,3.0,2.0,1125.3017209207555,82.00314834051836,125.29257369950727,110.87270857199728,0.8849104563683594,76.5325875,0.6902743559322547,0.6472978224262722,0.7377470327716286,34.340121071997274
CygOB2-B,PARSEC,3.0,2.3,1603.901414834116,82.00314834051836,78.10926648192026,72.50510702441252,0.9282523097460541,76.5325875,1.0555475419715115,0.9847653972553533,1.1318373073281982,-4.027480475587481
CygOB2-B,PARSEC,3.0,2.6,2235.8951215255734,82.00314834051836,48.849692990103854,47.9918620340453,0.9824393787647275,76.5325875,1.5946992730915086,1.4758357141541234,1.7263463305754798,-28.540725465954708
CygOB2-C,PARSEC,3.0,2.0,1268.3107652111362,119.99999999999999,148.2759031584992,118.22603979249736,0.797338186948151,103.540769140625,0.87578649612516,0.8218475851932132,0.9322112043653782,14.685270651872358
CygOB2-C,PARSEC,3.0,2.3,1858.3584948678279,119.99999999999999,93.29200792581426,77.69245426414705,0.8327878881750302,103.540769140625,1.33270045490642,1.2467341978332591,1.4238578840540874,-25.848314876477957
CygOB2-C,PARSEC,3.0,2.6,2639.550659048631,119.99999999999999,58.74553509458156,51.33034316628042,0.8737743742335051,103.540769140625,2.017145469010663,1.872131706927792,2.1700308773354906,-52.21042597434458
CygOB2-A,PARSEC,3.1,2.0,1218.4572137872613,59.70434892054486,131.09835795110644,105.00454096296303,0.8009600013611522,59.412929296875,0.5658129520115801,0.5344764089338745,0.5987142841013638,45.591611666088035
