source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_g_observed,recovery_probability,lookback_Myr,implied_velocity_km_s,in_velocity_window,is_runaway_candidate,false_positive_rate_at_separation
2062973912982177280,309.0008840874509,37.13501269234893,77.19303267221727,-2.1391892706923024,0.6491684049964791,0.020420711,-2.304237110563193,-9.424085568587257,10.411185,2.945403,-0.63638973,1.0,2.288135593220339,39.3399049364661,True,True,0.019555555555555555
2064671253991921408,309.1817928817363,40.352041891603534,79.84762692078088,-0.31542137139580556,0.5014384549475054,0.07970176,-1.4168647186395926,-5.73738349346641,10.886296,4.2450533,-0.16127872,1.0,0.3389830508474576,14.741196878291625,True,True,0.20689655172413793
2057757421801054720,307.2198790719934,37.102914048064285,76.32479320144782,-1.0146719755146723,0.5647234129195228,0.032678258,-3.2880021517378477,-11.883253149282792,10.897633,3.8700962,-0.1499424,1.0,1.6101694915254237,58.260723357936115,True,True,0.019555555555555555
2067267304028045568,306.8231944375446,39.742365521762046,78.28689040802223,0.7780201244860658,0.591504729392453,0.013598449,-3.313714017059657,-5.387718791136223,9.900386,1.4457426,-1.1471891,1.0,2.3728813559322033,9.465699322036276,False,False,0.13333333333333333
2164074045832811648,317.38658401515096,45.84648540924333,87.89849627464342,-1.3883098461576662,0.7073650040582031,0.012419208,5.524206897404641,1.4810356758842633,11.025704,2.1372595,-0.021870613,1.0,2.6271186440677967,77.30754052843132,True,True,0.0037537537537537537
2061189787869173248,305.29928839162494,38.58730008927246,76.6622978263451,1.0803819153930783,0.5694456301330664,0.017090792,-3.7870891209718636,-6.204640140187442,10.544656,1.2250509,-0.5029192,1.0,4.23728813559322,16.69515890268287,True,True,0.04978165938864629
2163930761406998784,314.492924187541,47.37630667909072,87.71495814736956,1.1129843307280212,0.8968851694624915,0.013847901,1.9296078548978302,1.1713172290526508,10.998589,2.035719,-0.048986435,1.0,3.389830508474576,55.16615370787815,True,True,0.006244424620874219
2055719992415472000,303.1287027322712,34.390426939252244,72.20744252001755,0.1790314760153089,0.6977121047718243,0.012969896,-6.251019313611384,-13.113223233210391,10.886855,2.0520477,-0.16071987,1.0,2.8813559322033897,72.84180520932689,True,True,0.006244424620874219
2067436388299971840,305.9426418388421,39.61881696069031,77.79438813158869,1.2597251056923435,0.5888986049950734,0.01028001,-4.162048136538874,-5.0342097532581285,10.337096,1.5901985,-0.7104788,1.0,3.389830508474576,12.459260506450981,True,True,0.08485499462943072
2167429480434736768,309.91914533967787,47.092006528801264,85.5352353593073,3.3444426878709717,0.7565947458085824,0.014638864,-1.5486185423176713,-0.33561832691256654,9.159141,2.1031027,-1.8884344,1.0,4.491525423728813,31.836107352686902,True,True,0.006244424620874219
2067298021631784704,307.2293626975127,39.634541329575974,78.38175075438099,0.46128542793892624,0.5063011160895217,0.023508528,-3.5870373642979367,-5.3056808672294995,10.811605,3.5455103,-0.23596954,1.0,2.2033898305084745,10.16451936996264,True,True,0.13333333333333333
2056997865427877376,308.13531086016184,36.80255659339831,76.51313493065621,-1.7827360683243918,0.8888903466405716,0.01261554,-3.5670535143291002,-11.187986056285464,10.9767,2.0527096,-0.07087517,1.0,1.8644067796610169,53.19277209885203,True,True,0.019555555555555555
2074975395945857920,302.02960699167636,42.606085096218564,78.64316090117727,5.369444912072495,0.565864630747948,0.022408659,-5.421371250654281,-3.506756376048261,7.984454,0.21634722,-3.0631208,1.0,4.830508474576271,21.748308431276556,True,True,0.019555555555555555
2061153607064083840,306.01939471346174,38.5381050551873,76.94381111788871,0.5902451213159711,0.713348258394522,0.030713331,-3.2504753134614863,-6.270939605253778,8.554109,1.2225351,-2.4934664,1.0,4.406779661016949,15.594144614853228,True,True,0.04978165938864629
2167430236349041408,309.9641983367889,47.10824970945949,85.56683585276727,3.3299793930308415,0.48466947465699955,0.020289535,-1.7305833232893968,-0.5364968084849213,9.551637,2.8980112,-1.4959383,1.0,4.661016949152542,29.96653726997274,True,True,0.006244424620874219
2067398111550257408,306.9307510072228,40.56424074593803,79.00308740919016,1.189665530021533,0.7011001477246236,0.0125783775,-2.9380610396512443,-5.695467849204899,9.811857,2.1054773,-1.2357178,1.0,0.5932203389830508,10.73065396067999,True,True,0.20689655172413793
2060754690524012672,302.55989006775627,37.01385131078939,74.14954477409061,2.0026394860581553,0.5786111406630583,0.010147963,-5.486122224551535,-6.847483583590204,10.7221775,2.0107117,-0.3253975,1.0,4.915254237288135,28.860567474151402,True,True,0.006244424620874219
2074912517622801024,302.0625992586972,42.18696715301849,78.30101840401818,5.124146961904995,0.6967908216514345,0.015031155,-5.748978164160006,-3.9364471139740576,10.698814,1.7448883,-0.3487606,1.0,4.322033898305085,23.543960506324527,True,True,0.019555555555555555
