version,subgroup,family,R_V,alpha,k_median,threshold_Msun,expected_true_above_threshold,expected_observed_above_threshold,effective_completeness,bright_recovery_plateau_response,bright_recovery_plateau_isotonic,spurious_deficit_fraction
repair_v6,CygOB2-A,PARSEC,3.0,2.0,1176.6904105120113,8.0,84.15988567819198,68.14171469409443,0.8096697630347628,0.7611666666666667,0.7951262626262624,0.1903302369652372
repair_v6,CygOB2-A,PARSEC,3.0,2.3,1675.0432642151386,8.0,58.11432421431127,48.35023784246677,0.8319848590884932,0.7611666666666667,0.7951262626262624,0.16801514091150682
repair_v6,CygOB2-A,PARSEC,3.0,2.6,2326.86366056491,8.0,39.35088106452774,33.80706983924568,0.8591184981044948,0.7611666666666667,0.7951262626262624,0.1408815018955052
repair_v6,CygOB2-B,PARSEC,3.0,2.0,1116.3874480811896,8.0,79.84686470097,72.78882821875108,0.9116053396880194,0.7898333333333334,0.8011648148148147,0.08839466031198062
repair_v6,CygOB2-B,PARSEC,3.0,2.3,1596.5053595159595,8.0,55.38951265015183,53.0257056607251,0.9573239251199613,0.7898333333333334,0.8011648148148147,0.04267607488003866
repair_v6,CygOB2-B,PARSEC,3.0,2.6,2233.7615943323663,8.0,37.776380419187326,38.319219481505684,1.0143698008198434,0.7898333333333334,0.8011648148148147,-0.014369800819843404
repair_v6,CygOB2-C,PARSEC,3.0,2.0,1257.1750355957843,8.0,89.91635040790378,74.56865207259902,0.8293113736747519,0.7888148148148149,0.79840744400527,0.17068862632524806
repair_v6,CygOB2-C,PARSEC,3.0,2.3,1845.5730027916395,8.0,64.03072095912016,54.729913349657565,0.8547446058681643,0.7888148148148149,0.79840744400527,0.14525539413183575
repair_v6,CygOB2-C,PARSEC,3.0,2.6,2626.26465113763,8.0,44.4142171638025,39.3628162918378,0.8862661284035515,0.7888148148148149,0.79840744400527,0.11373387159644854
repair_v6,CygOB2-A,PARSEC,3.1,2.0,1211.5287362170525,8.0,86.65161118420686,70.38473144523563,0.8122726223244648,0.7713333333333333,0.7961190025252526,0.18772737767553516
repair_v6,CygOB2-A,PARSEC,3.1,2.3,1726.1314410414723,8.0,59.88678880375264,49.9204533811845,0.8335804002577674,0.7713333333333333,0.7961190025252526,0.16641959974223264
repair_v6,CygOB2-A,PARSEC,3.1,2.6,2404.0542616325683,8.0,40.65629410328541,34.94517558765478,0.8595268299387593,0.7713333333333333,0.7961190025252526,0.14047317006124072
repair_v6,CygOB2-B,PARSEC,3.1,2.0,1146.2941748674389,8.0,81.98586973139636,75.17258910808103,0.9168968915541528,0.7969999999999998,0.805921717171717,0.08310310844584723
repair_v6,CygOB2-B,PARSEC,3.1,2.3,1639.0546811475847,8.0,56.86572829498051,54.71093681729119,0.9621073792194882,0.7969999999999998,0.805921717171717,0.03789262078051181
repair_v6,CygOB2-B,PARSEC,3.1,2.6,2286.8491810277646,8.0,38.67417402242159,39.386676606629074,1.01842321399791,0.7969999999999998,0.805921717171717,-0.018423213997909915
repair_v6,CygOB2-C,PARSEC,3.1,2.0,1280.4396191467922,8.0,91.58029249030047,75.2099648128737,0.8212461739062408,0.7883148148148149,0.7947304567413264,0.17875382609375923
repair_v6,CygOB2-C,PARSEC,3.1,2.3,1884.298652040327,8.0,65.3742772623673,55.28123404313912,0.8456113988270699,0.7883148148148149,0.7947304567413264,0.15438860117293007
repair_v6,CygOB2-C,PARSEC,3.1,2.6,2685.3020476663287,8.0,45.41263129890321,39.77553461812891,0.8758694107885696,0.7883148148148149,0.7947304567413264,0.12413058921143039
repair_v6,CygOB2-A,PARSEC,3.5,2.0,1261.8373920046824,8.0,90.24981397560049,73.7406948397705,0.8170730951280042,0.7795555555555554,0.8079569892473116,0.1829269048719958
repair_v6,CygOB2-A,PARSEC,3.5,2.3,1813.2206833243167,8.0,62.90828237930836,52.81821785827374,0.8396067395355652,0.7795555555555554,0.8079569892473116,0.1603932604644348
repair_v6,CygOB2-A,PARSEC,3.5,2.6,2545.7910216961063,8.0,43.05328301254437,37.32671511637888,0.8669888218629703,0.7795555555555554,0.8079569892473116,0.13301117813702967
repair_v6,CygOB2-B,PARSEC,3.5,2.0,1280.9696203155763,8.0,91.61819951952047,84.62256183538662,0.9236435804150098,0.7996851851851852,0.801875,0.07635641958499018
repair_v6,CygOB2-B,PARSEC,3.5,2.3,1847.3585533336513,8.0,64.09266924745177,62.44012257144519,0.9742162918878233,0.7996851851851852,0.801875,0.025783708112176673
repair_v6,CygOB2-B,PARSEC,3.5,2.6,2584.5651483403944,8.0,43.70901375939435,45.38198496777766,1.0382751991978711,0.7996851851851852,0.801875,-0.038275199197871146
repair_v6,CygOB2-C,PARSEC,3.5,2.0,1366.5486377793782,8.0,97.73902812648738,82.01948701781413,0.8391682277796945,0.7906851851851849,0.7960085978835978,0.16083177222030554
