yield_arm,branches,M_al26_min_Msun,M_al26_median_Msun,M_al26_max_Msun,M_fe60_min_Msun,M_fe60_median_Msun,M_fe60_max_Msun,F_1809_min,F_1809_median,F_1809_max,F_fe60_line_min,F_fe60_line_median,F_fe60_line_max,F_fe60_combined_median,al26_fraction_of_complex_flux,fe60_over_spi_limit,cosi_verdict_fe60,cosi_verdict_al26_sn_only,spi_verdict_fe60
LC06_NL,36,0.0009200077121704848,0.0018924766809023975,0.003701868226479154,0.0029778625188884096,0.006736334145674264,0.014301083212600754,4.040110887024087e-06,8.310599509992102e-06,1.6256339948328085e-05,1.5763442787590118e-06,3.565907332184842e-06,7.570339651091369e-06,7.13467024581688e-06,0.21309229512800262,0.9466713522648541,MARGINAL,DETECTABLE,BELOW_LIMIT
LC06_Langer,36,0.0002568427906711066,0.0005264287103052597,0.0010140830218205734,9.633955920812467e-05,0.0002220027489780765,0.00046206632693725664,1.1278963655597023e-06,2.3117527555597383e-06,4.453232079041937e-06,5.0997758295631817e-08,1.1751810602424856e-07,2.445967892253895e-07,2.3513032064190993e-07,0.05927571168101893,0.030586840734716497,BELOW_REACH,MARGINAL,BELOW_LIMIT
LC18_REC,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BELOW_REACH,BELOW_REACH,BELOW_LIMIT
