source_id,subgroup,mass,av_wp3,av_optical_only,av_nir_only,av_optical_minus_nir,residual_G,residual_BP,residual_RP,residual_J,residual_H,residual_Ks
2064716883724877056,CygOB2-C,11.79313914016255,7.03291289543887,7.274196575643391,7.297580591985482,-0.023384016342091307,0.19565144732840262,0.30359392144966774,0.08291951598796184,0.027708377108759976,0.07030095253615859,0.10352192559971009
2064719185827166720,CygOB2-B,7.16773825478602,7.2182496774387435,7.627204202173582,7.650862456838124,-0.023658254664542078,0.28260467400749023,0.5169806207480363,0.21498975651683372,0.09387573487089375,0.08623267228536757,0.10205408882736558
2064720079180387456,CygOB2-B,4.506832306090075,7.165013053978404,7.463107131002737,7.50601691157531,-0.04290978057257355,0.2208957849585198,0.33246211014342486,0.21212758046870014,0.1379297397447563,0.0185468481186611,0.015038660006389955
2064720079180390528,CygOB2-B,5.694976781763646,6.973420809481105,6.830512596166305,6.803163619655351,0.027348976510954692,-0.0941818937153133,-0.16082835087182937,-0.1141988402173238,-0.05942943155439668,-0.04366731260695997,0.02305118926956198
2064722999758155264,CygOB2-B,9.985655116408934,7.177327414307605,7.510335986840085,7.547155533763191,-0.036819546923106294,0.2502616052739866,0.4184084576360572,0.15080049760060033,0.1021805951425162,0.04249374439190435,0.08561097383491317
2064723137197123200,CygOB2-C,7.1959703505542265,7.167658961933699,7.480189324218777,7.478281411230488,0.0019079129882895174,0.2149126385649806,0.4098330839569684,0.14580991639557725,0.0571837922444254,0.06934904475559542,0.08574885954183845
2064723785734701568,CygOB2-B,18.79774057101777,7.285860080577771,8.413720716374335,8.431094304387075,-0.017373588012739916,0.8316187621875961,1.338947049115784,0.6640274314077204,0.2905980460333675,0.22816345176799055,0.18168606495811737
2064730730699199616,CygOB2-C,10.434755487219547,7.949319826427189,9.916800947328671,9.95530800252139,-0.03850705519271891,1.4355878448843113,2.30635942369936,1.283052240651967,0.564853045647989,0.35852489249983865,0.25845290639300966
2064738049323468928,CygOB2-C,20.462202953135964,7.758300694240107,9.344838654820247,9.407354393435817,-0.06251573861556992,1.167562678160219,1.8340496606081553,1.0218072709683648,0.43704525421179696,0.31518809881705095,0.24516599556139043
2064739041458261120,CygOB2-C,37.262,6.853523383057894,6.964376239781877,6.787222281796383,0.17715395798549327,0.15385076007934395,0.06948931657908858,0.07591522929544604,-0.05153410522577775,0.007249541279981715,0.03196897928281622
2064741485297332736,CygOB2-C,3.558468587652515,6.946226686551613,7.268785482375418,7.232071603974939,0.03671387840047924,0.2548126493164281,0.32966680512687085,0.2477154871894827,0.07701674729196803,0.051654219786400196,0.04582101377872361
2064742894046619264,CygOB2-B,5.497143270065809,7.643979637921328,9.048761029023582,9.015092696453431,0.03366833257015145,1.092419900037092,1.5675790777880572,0.9476384809139653,0.41350391868300224,0.26742471375669674,0.09580726146249195
2064745986423098752,CygOB2-C,7.43790280727962,7.306313263945538,7.972328539746265,7.9115874192360405,0.06074112051022418,0.5014135522286864,0.7712493038017613,0.41903587836365525,0.14377910770651112,0.11978814264785614,0.12114069209268852
2064746604898423168,CygOB2-B,13.573452439502034,7.1987126657401275,7.601069924447801,7.628170089492912,-0.027100165045110813,0.294715863886679,0.5135891798847495,0.1781497323528018,0.07893530617468744,0.09961593073049993,0.11154702329969474
2064747841849033344,CygOB2-C,11.482973059899358,7.424845010826138,8.446282597968386,8.447856345091743,-0.0015737471233574496,0.7358141907954059,1.2340272407221975,0.5907665967133059,0.24665262632937515,0.1950201583860658,0.20288324893685533
2064747841849036416,CygOB2-C,7.26131366905212,7.337891495133105,8.137780073956957,8.179234309183737,-0.041454235226780156,0.580985387850237,0.9578235860630862,0.4801742490348795,0.21819686343468817,0.1519919913110335,0.14738786473488857
2064748559105788160,CygOB2-C,59.729001942747146,7.2908841706564145,8.3229237075819,8.245810940354707,0.0771127672271934,0.8194864487697254,1.1404015318610052,0.6744535281014193,0.25201731759144436,0.1986637746375925,0.12725366167615862
2064749044439863680,CygOB2-C,5.381019903539045,7.313451427105507,8.058716286256232,8.112719160946023,-0.05400287468979137,0.5507041013795768,0.8726926918170589,0.4762976404481308,0.20285821960286812,0.17418176123645285,0.13679705153803196
2064749319317751808,CygOB2-C,18.900534322303862,7.453919453522795,8.527868720062642,8.498031454135837,0.02983726592680469,0.8396861473266584,1.200293328146685,0.6960868333190955,0.2840622429619137,0.19228512015709198,0.14788221567791973
2064749830416451712,CygOB2-B,3.319646044355371,7.130529538295141,7.69346689924223,7.805302424135878,-0.11183552489364779,0.4105596437730315,0.6495182666342065,0.42001555965273624,0.20849027535714124,0.18919394152760735,-0.06929655244674973
2064749933495669248,CygOB2-C,3.201711439249653,7.06896587149537,7.474960402686219,7.501388870069988,-0.02642846738376914,0.2853244458306059,0.4500376321118369,0.3303854901546452,0.14817425530066783,0.07650228464681161,-0.006903588487048529
2064750281390472832,CygOB2-C,5.070692536563612,6.640892311206222,5.856733480758324,5.714629817101038,0.1421036636572861,-0.632433486847983,-1.0450397583229931,-0.16634021372935232,-0.14539767383708094,-0.22567063992174666,-0.2548806187820843
2064750281390475392,CygOB2-C,3.2883806803162274,6.8223731650993775,6.540968685761941,6.525940502084737,0.015028183677204154,-0.24820390010727586,-0.306807380531784,-0.1588414893479681,-0.09884135540493826,-0.059667852618253484,0.02295321971646867
2064750384469663744,CygOB2-C,3.9560054408206753,7.033411482329855,7.350261344189359,7.335733348643991,0.0145279955453681,0.22770220114686296,0.3664513727984037,0.22037754476459115,0.08448209336696384,0.050346673761730194,0.04740849976714989
2064750762426801792,CygOB2-C,6.9413861097842915,6.54317269136894,5.384156470917288,5.310824182466924,0.07333228845036466,-0.9484906355090461,-1.270129011633125,-0.7382494263131056,-0.37621802270083365,-0.1985400204091718,-0.12702791861796495
