subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,truth_age_nodes_Myr,truth_age_prior_weights,truth_age_log_marginal_likelihood,truth_age_posterior_weights,truth_age_posterior_mean_Myr,truth_age_prior_mean_Myr,truth_age_posterior_map_Myr,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7960368389780156,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,[3.98107171 4.46683592],[0.88888889 0.11111111],[-589.05354124 -588.84178968],[0.86619076 0.13380924],4.046071444954098,4.035045507309933,3.9810717055349696,1229.003256084655,1175.9639438643574,1109.2159365016953,1245.4154191540076,1047.269902875659,1311.9716579966237,13.16314751881295,5,0.021896936275244885,-0.48571428571428577,0.3287230320699708,2.7149861258298653,True
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7960368389780156,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,[3.98107171 4.46683592],[0.88888889 0.11111111],[-586.27211317 -586.76886054],[0.92931333 0.07068667],4.01540876153218,4.035045507309933,3.9810717055349696,1791.8124548266228,1676.7729431266994,1580.997336854278,1777.0981638739133,1488.7619878958744,1876.340358175842,8.659151599626517,5,0.12345646441423062,-0.4285714285714286,0.3965014577259473,1.9783663597445589,True
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7960368389780156,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,[3.98107171 4.46683592],[0.88888889 0.11111111],[-585.90244394 -587.08673954],[0.96316361 0.03683639],3.9989655044884134,4.035045507309933,3.9810717055349696,2576.6828621657323,2331.03251133463,2190.30782032129,2479.6262223893104,2055.9994312839485,2625.62377738794,10.680058956073548,5,0.05810573019985702,0.14285714285714288,0.7871720116618076,2.258655453084554,True
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8102536231884059,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,[2.81838293 3.16227766],[0.22222222 0.77777778],[-496.98542347 -492.10625996],[0.00216768 0.99783232],3.1615322054732813,3.0858566093008415,3.1622776601683795,1370.0359989233275,1284.3508312381664,1206.739549440621,1367.5213687057847,1133.1332527312265,1451.7342967821955,23.81167519092922,5,0.00023597055254130734,-0.8285714285714287,0.04156268221574335,3.2202072856933226,False
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8102536231884059,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,[2.81838293 3.16227766],[0.22222222 0.77777778],[-492.77869669 -488.32455635],[0.00331194 0.99668806],3.161138700985638,3.0858566093008415,3.1622776601683795,2040.9168668822076,1853.1838243226885,1735.4426026987676,1979.0193649738019,1622.1048533402072,2103.092406001582,18.038651158679613,5,0.0028983519908535984,-0.7714285714285715,0.07239650145772594,3.0962826154722967,False
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8102536231884059,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,[2.81838293 3.16227766],[0.22222222 0.77777778],[-489.72447117 -485.78868708],[0.00554914 0.99445086],3.1603693389187932,3.0858566093008415,3.1622776601683795,2999.7274050579017,2592.9836956918925,2412.175862396358,2786.667162392632,2237.236749315604,2976.909749169039,16.606441237756275,5,0.005309959252334809,-0.6571428571428573,0.1561749271137024,3.152446337849135,False
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7887500000000002,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-465.4901314],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,1338.6316469795167,1256.0720894288427,1175.6048450929864,1336.5117746719088,1100.55081305249,1417.0352202954207,4.897880486990794,5,0.42846981505555104,-0.7142857142857143,0.11078717201166179,1.463067909568462,True
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7887500000000002,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-464.60721398],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,2031.8287874761459,1841.6934852253432,1719.6982824067384,1965.5704243749449,1604.2305497280063,2089.788707992164,4.957765517046097,5,0.42105628523069005,0.08571428571428573,0.8717434402332361,1.3214442861455038,True
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7887500000000002,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,[2.51188643],[1.],[-464.9214468],[1.],2.5118864315095824,2.511886431509583,2.5118864315095824,3048.6326397215707,2618.6834014636465,2425.6407975972434,2816.8344304933416,2242.384364900282,3010.7160486847906,10.013991666514316,5,0.07483976782647286,0.3714285714285715,0.4684781341107872,2.463334543536219,True
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7981818181818184,397,341.93970078125005,membership_weighted_mass_posterior_soft_bins,[3.98107171],[1.],[-594.95450099],[1.],3.9810717055349696,3.9810717055349705,3.9810717055349696,1255.2679921647969,1199.914786331386,1134.48372091482,1268.2549399243844,1072.7891500546823,1335.536833425422,7.467446312002362,5,0.1881311766135341,-0.6,0.208,1.8214527510755396,True
