subgroup,family,R_V,alpha,k_median_floor8,turnoff_prior_mean_Msun_floor8,predicted_true_living_floor8,predicted_observed_living_floor8,effective_completeness_floor8,observed_living_floor8,closure_ratio_floor8,closure_ratio_lo68_floor8,closure_ratio_hi68_floor8,shortfall_floor8,k_median_fixed,turnoff_prior_mean_Msun_fixed,predicted_true_living_fixed,predicted_observed_living_fixed,effective_completeness_fixed,observed_living_fixed,closure_ratio_fixed,closure_ratio_lo68_fixed,closure_ratio_hi68_fixed,shortfall_fixed,ratio_change,ratio_change_fraction
CygOB2-A,PARSEC,3.0,2.0,1176.690410512011,59.06452774556843,126.60451174600846,84.27497535803512,0.6656553877566856,57.845171484375,0.6863860978733565,0.6479038255269358,0.7260158496971343,26.42980387366012,1176.690410512011,59.06452774556843,126.60451174600846,98.7368067611808,0.7798837924454436,57.845171484375,0.585852159714743,0.5530063278502386,0.6196774014654919,40.891635276805786,-0.10053393815861345,-0.14646849414651567
CygOB2-A,PARSEC,3.0,2.3,1675.0432642151386,59.06452774556843,79.81932852528577,52.62222791154984,0.659266732554381,57.845171484375,1.0992535622323736,1.0362752530505723,1.165046525761806,-5.222943572825159,1675.0432642151386,59.06452774556843,79.81932852528577,64.30373895904671,0.8056161351780363,57.845171484375,0.8995615561517349,0.8480239785101079,0.953402473925226,6.45856747467171,-0.19969200608063864,-0.181661459140603
CygOB2-A,PARSEC,3.0,2.6,2326.86366056491,59.06452774556843,50.15589691012619,32.71241705280604,0.6522147756907442,57.845171484375,1.7682940209217313,1.6592751379403816,1.8825583636076513,-25.13275443156896,2326.86366056491,59.06452774556843,50.15589691012619,41.94022072192985,0.8361972032337908,57.845171484375,1.3792290667208795,1.2941968206971424,1.4683526518586207,-15.904950762445154,-0.38906495420085174,-0.220022773134781
CygOB2-B,PARSEC,3.0,2.0,1116.3874480811896,82.00314834051836,124.3000468367429,87.33839051029673,0.7026416540695916,76.5325875,0.8762765955822969,0.8205855525140765,0.9351403800994612,10.805803010296728,1116.3874480811896,82.00314834051836,124.3000468367429,107.51194372354894,0.8649388834483414,76.5325875,0.7118519566234635,0.6666107871407039,0.7596705339928165,30.979356223548933,-0.1644246389588334,-0.18764011248020515
CygOB2-B,PARSEC,3.0,2.3,1596.5053595159595,82.00314834051836,77.74908196532972,53.64177079048728,0.6899344588326779,76.5325875,1.4267349189294871,1.330976367313443,1.5288931865341004,-22.890816709512727,1596.5053595159595,82.00314834051836,77.74908196532972,70.22185078413276,0.9031855940813096,76.5325875,1.089868561500421,1.016719559876876,1.1679062422793816,-6.31073671586725,-0.336866357429066,-0.23610998298256047
CygOB2-B,PARSEC,3.0,2.6,2233.7615943323663,82.00314834051836,48.803079825035944,33.06367482270642,0.6774915628530636,76.5325875,2.3147030059538753,2.138835215919644,2.502566775125591,-43.46891267729359,2233.7615943323663,82.00314834051836,48.803079825035944,46.432275054125334,0.9514210008997344,76.5325875,1.6482627097377252,1.523030090515394,1.7820374723919568,-30.10031244587467,-0.6664402962161502,-0.28791611472484097
CygOB2-C,PARSEC,3.0,2.0,1257.1750355957845,120.0,146.9740452768701,98.56745896511728,0.6706453427163662,103.540769140625,1.0504559032739982,0.9862814525669358,1.1229941169639102,-4.973310175507734,1257.1750355957845,120.0,146.9740452768701,114.80877943079264,0.7811500269623494,103.540769140625,0.901854106053274,0.8467580361530589,0.964130766747096,11.268010290167638,-0.1486017972207242,-0.1414640983572666
CygOB2-C,PARSEC,3.0,2.3,1845.5730027916395,120.0,92.65015963260213,61.63009143128951,0.6651914219649423,103.540769140625,1.6800359489335026,1.57246382249747,1.80205271795712,-41.910677709335495,1845.5730027916395,120.0,92.65015963260213,75.18121605255611,0.8114526337642815,103.540769140625,1.377215940059335,1.2890332750825353,1.4772396564331056,-28.359553088068893,-0.3028200088741677,-0.18024614834367073
CygOB2-C,PARSEC,3.0,2.6,2626.26465113763,120.0,58.44984323455721,38.488738373167166,0.6584917297162489,103.540769140625,2.690157524436019,2.501469654401548,2.9078044340332196,-65.05203076745784,2626.26465113763,120.0,58.44984323455721,49.47334077747803,0.8464238403333816,103.540769140625,2.0928598617653957,1.9460664989195011,2.262182467224627,-54.067428363146966,-0.5972976626706235,-0.2220307388117893
CygOB2-A,PARSEC,3.1,2.0,1211.5287362170525,59.70434892054486,130.3528971977229,87.44770270931585,0.670853541342259,59.412929296875,0.67941097886092,0.6419881122121087,0.7188919700420338,28.03477341244085,1211.5287362170525,59.70434892054486,130.3528971977229,102.07138861434336,0.7830388952500122,59.412929296875,0.5820723133429198,0.5500109907562323,0.615896894612406,42.65845931746836,-0.09733866551800019,-0.14326919721137754
CygOB2-A,PARSEC,3.1,2.3,1726.1314410414725,59.70434892054486,82.2537874177668,54.67311443331923,0.664688109200791,59.412929296875,1.0866937051727057,1.024427673831529,1.151711405385003,-4.739814863555772,1726.1314410414725,59.70434892054486,82.2537874177668,66.48116853019337,0.8082444665135682,59.412929296875,0.8936805806879247,0.8424739317663029,0.9471501607583136,7.068239233318373,-0.19301312448478103,-0.1776150202821925
CygOB2-A,PARSEC,3.1,2.6,2404.0542616325683,59.70434892054486,51.8197519503653,34.08409267480481,0.6577432618251762,59.412929296875,1.7431277946498906,1.6381223831641012,1.8580716094509395,-25.32883662207019,2404.0542616325683,59.70434892054486,51.8197519503653,43.42377797229501,0.837977341417762,59.412929296875,1.3682118892276325,1.2857912813588024,1.4584333259385087,-15.989151324579993,-0.37491590542225817,-0.21508228287849687
CygOB2-B,PARSEC,3.1,2.0,1146.2941748674389,71.10112027358689,126.21876067409164,88.95724432357376,0.7047862286753829,79.55346601562499,0.8942887858155386,0.8368067537536678,0.9558411202381566,9.40377830794877,1146.2941748674389,71.10112027358689,126.21876067409164,109.66459128552737,0.8688454133113488,79.55346601562499,0.7254252724883298,0.6787972487078028,0.7753550263654297,30.11112526990236,-0.16886351332720884,-0.1888243663630594
CygOB2-B,PARSEC,3.1,2.3,1639.0546811475847,71.10112027358689,79.28693321703938,54.9516873371708,0.6930736895415858,79.55346601562499,1.4476983304898974,1.3495478302687396,1.5511507776985878,-24.601778678454195,1639.0546811475847,71.10112027358689,79.28693321703938,71.95653884670176,0.9075459968886492,79.55346601562499,1.105576606249891,1.0306211444310494,1.184581052883829,-7.59692716892323,-0.3421217242400063,-0.23632114304105967
CygOB2-B,PARSEC,3.1,2.6,2286.8491810277646,71.10112027358689,49.76698706868653,33.915543279203106,0.6814867701834982,79.55346601562499,2.3456344296394303,2.174513839555002,2.532445758985837,-45.637922736421885,2286.8491810277646,71.10112027358689,49.76698706868653,47.57837047531087,0.9560227226463396,79.55346601562499,1.6720510858375546,1.5500702840363916,1.8052168008924927,-31.97509554031412,-0.6735833438018757,-0.28716467293047815
