source_id,subgroup,mass_PARSEC_rv3.1,J,H,Ks,jks_obs,jks_intrinsic,av_wp3,av_nir,delta_av,av_nir_fixed,delta_av_fixed
2064716883724877056,CygOB2-C,11.79313914016255,10.961,10.344,10.031,0.9300003,-0.198171106111828,7.03291289543887,6.613248814064993,0.41966408137387745,6.173047,0.8598658297040069
2064719185827166720,CygOB2-B,7.16773825478602,12.025,11.33,10.975,1.0499992,-0.17729127525767058,7.2182496774387435,7.19427690144909,0.023972775989653528,6.876471,0.3417786348056868
2064720079180387456,CygOB2-B,4.506832306090075,13.072,12.244,11.852,1.2199993,-0.13467080781520252,7.165013053978404,7.940965781121774,-0.7759527271433697,7.8729973,-0.7079842299571428
2064720079180390528,CygOB2-B,5.694976781763646,12.527,11.873,11.567,0.96000004,-0.1558995398334782,6.973420809481105,6.54131232794863,0.4321084815324756,6.348903,0.624517630312404
2064722999758155264,CygOB2-B,9.985655116408934,11.35,10.617,10.31,1.04,-0.17830124255541255,7.177327414307605,7.14158231153234,0.0357451027752651,6.817856,0.3594715793466676
2064723137197123200,CygOB2-C,7.1959703505542265,12.029,11.361,11.009,1.0200005,-0.1775476145572049,7.167658961933699,7.019929143589032,0.14772981834466758,6.7006207,0.46703831068858204
2064723785734701568,CygOB2-B,18.79774057101777,9.652,8.907,8.509,1.1430006,-0.240417613155314,7.285860080577771,8.109484767980264,-0.8236246874024937,7.4216375,-0.13577745451744416
2064730730699199616,CygOB2-C,10.434755487219547,11.107,10.161,9.673,1.434,-0.17669573353834137,7.949319826427189,9.44176713217262,-1.492447305745431,9.127452,-1.1781320702402915
2064738049323468928,CygOB2-C,20.462202953135964,9.543,8.703,8.252,1.2910004,-0.24499999999999997,7.758300694240107,9.003908890630688,-1.245608196390581,8.2892,-0.5308991348614551
2064739041458261120,CygOB2-C,37.262,7.44,6.859,6.545,0.895,-0.23571836424148748,6.853523383057894,6.628178732777239,0.22534465028065487,5.967878,0.8856455182202474
2064741485297332736,CygOB2-C,3.558468587652515,13.366,12.654,12.262,1.1040001,-0.11061951100013134,6.946226686551613,7.120001061678254,-0.17377437512664073,7.1930194,-0.24679270355458804
2064742894046619264,CygOB2-B,5.497143270065809,12.533,11.672,11.123,1.4099998,-0.15245715616288555,7.643979637921328,9.158995541401524,-1.5150159034801955,8.986765,-1.342785269915586
2064745986423098752,CygOB2-C,7.43790280727962,11.848,11.139,10.766,1.0819998,-0.18069273649463505,7.306313263945538,7.401800555665165,-0.09548729171962744,7.0640554,0.2422578211354791
2064746604898423168,CygOB2-B,13.573452439502034,10.614,9.967,9.632,0.98200035,-0.19227571271341937,7.1987126657401275,6.883510526612222,0.31520213912790584,6.477867,0.7208455392752837
2064747841849033344,CygOB2-C,11.482973059899358,10.879,10.14,9.784,1.0949993,-0.1891925636758209,7.424845010826138,7.527828061260402,-0.10298305043426392,7.140258,0.2845871754379541
2064747841849036416,CygOB2-C,7.26131366905212,11.916,11.156,10.778,1.1380005,-0.17839707769767751,7.337891495133105,7.716615183602464,-0.3787236884693588,7.3923273,-0.05443581352168003
