subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.8064705882352942,0.5,18.0,400,345.33265234375006,membership_weighted_mass_posterior_soft_bins,2670.190126150386,2409.242797100618,2264.4974394745605,2558.7729549199535,2130.0224986127455,2715.2346068413613,11.929094449290394,5,0.035772373732987736,0.5428571428571429,0.26570262390670546,2.8638708958971124,True
CygOB2-B,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.823173076923077,0.5,18.0,332,267.167679296875,membership_weighted_mass_posterior_soft_bins,3201.244562555487,2737.4531673990905,2536.520478444291,2939.1530573802966,2351.6002437762972,3141.517909116376,13.55653128287279,5,0.01868584865306161,-0.028571428571428574,0.9571545189504373,3.1252894807406157,False
CygOB2-C,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.7983620689655172,0.5,18.0,324,260.827884375,membership_weighted_mass_posterior_soft_bins,3078.9815792727645,2635.2132218799193,2440.6519779262812,2835.494143703007,2252.4976460847333,3049.0557979943464,13.769096376986145,5,0.017144621763545538,0.6,0.208,3.1765169400880433,False
CygOB2-A,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.80765625,0.5,18.0,401,345.23838984375004,membership_weighted_mass_posterior_soft_bins,1294.1633672503365,1236.270031086362,1169.294536465337,1304.1787920923061,1106.4734148751854,1373.31523906459,1.003927036087663,5,0.9622484091358479,0.5428571428571429,0.26570262390670546,0.7082078753375656,True
CygOB2-B,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.8295454545454546,0.5,18.0,318,254.7311078125,membership_weighted_mass_posterior_soft_bins,1482.3860051945255,1374.0403473046053,1286.0027931160662,1464.6919591970327,1204.7958795925897,1559.3205022564034,28.153722769650464,5,3.396476269378862e-05,-0.3142857142857143,0.5440932944606415,4.280423503295451,False
CygOB2-C,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8046590909090909,0.5,18.0,302,245.4825578125,membership_weighted_mass_posterior_soft_bins,1418.487806344619,1317.3628158052932,1232.3793518728555,1405.220205760813,1154.237301483309,1495.597626072018,6.308680262005177,5,0.2773309613303708,-0.14285714285714288,0.7871720116618076,1.8403689145713455,True
CygOB2-A,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.80765625,0.5,18.0,401,345.23838984375004,membership_weighted_mass_posterior_soft_bins,1894.930031633747,1768.4076107473584,1670.3278291299443,1874.0973632844477,1576.133822018456,1976.9370399905158,6.732949614582898,5,0.24127072082203002,1.0,0.0,2.0239836842141377,False
CygOB2-B,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.8295454545454546,0.5,18.0,318,254.7311078125,membership_weighted_mass_posterior_soft_bins,2287.972903374595,2038.745203814613,1902.199407711975,2182.034152960758,1771.3270373036005,2327.1494086293787,26.501973215948464,5,7.129928776095423e-05,-0.2571428571428572,0.6227871720116619,4.20029772789084,False
CygOB2-C,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8046590909090909,0.5,18.0,302,245.4825578125,membership_weighted_mass_posterior_soft_bins,2193.056660734853,1955.939737082092,1820.674499912156,2096.2985169635044,1695.899277080157,2232.8133092551284,8.331312685113769,5,0.1388968784367986,0.14285714285714288,0.7871720116618076,1.9695883973278152,True
CygOB2-A,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.80765625,0.5,18.0,401,345.23838984375004,membership_weighted_mass_posterior_soft_bins,2739.345546232006,2464.558705380612,2315.530406845583,2619.8560813262884,2174.4607608009396,2769.64680127294,21.023575539713114,5,0.0008017936251542189,1.0,0.0,3.498002619593113,False
