subgroup,truth_age_Myr,prior_weight,D1_ctl,D1_trt,D2_ctl,D2_trt,D1_shift_fraction,D2_shift_fraction
CygOB2-A,3.713,0.1111,0.6527101644950025,0.6544229091111592,0.08904788146467957,0.09889981350798133,0.0026240507798462875,0.1106363439674809
CygOB2-B,3.293,0.1111,0.5162810053824071,0.5167627930682095,0.1326630954262516,0.14339110315259154,0.0009331888657138077,0.08086655668534215
CygOB2-C,2.445,0.1111,0.4391218935955281,0.4397317713838471,0.09295593500531778,0.10269233819642082,0.001388857620660433,0.10474213605130256
