subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7958823529411765,0.5,18.0,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,1237.2406990876818,1183.019253219549,1118.4736738983001,1249.3145478852275,1061.3776223893788,1314.5758912694378,13.421000267189152,5,0.01973729001087994,-0.48571428571428577,0.3287230320699708,2.6618846279271513,True
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8067391304347826,0.5,18.0,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,1386.6105762977863,1299.376208025085,1221.1145854027682,1385.5459749648724,1143.6588890003463,1469.4734547226565,24.27038349338077,5,0.0001926163891394636,-0.8285714285714287,0.04156268221574335,3.207353754234679,False
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.792608695652174,0.5,18.0,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,1377.1258258197263,1287.2838994742337,1208.1244174147812,1370.6295917620982,1131.7137206283921,1453.8631612211848,8.23121136193664,5,0.1439450567691874,-0.7142857142857143,0.11078717201166179,2.3372498293387345,True
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7958823529411765,0.5,18.0,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,1799.239297189506,1684.851573474607,1588.1965828025359,1782.3443890945039,1499.3098436280568,1878.6161149274974,8.659734005025923,5,0.12343047030057704,-0.4285714285714286,0.3965014577259473,1.936414701609895,True
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8067391304347826,0.5,18.0,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,2072.867195612291,1879.0521080816045,1762.659148494075,2007.0338968459548,1648.043050995629,2137.056544087576,18.435980264313862,5,0.0024468254207372264,-0.7714285714285715,0.07239650145772594,3.098618301663056,False
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.792608695652174,0.5,18.0,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,2097.3998640804643,1893.1776948734573,1767.2071245939635,2024.2023052296167,1649.0646515168996,2159.2618029766168,7.2718512479036335,5,0.20119468135455573,-0.3142857142857143,0.5440932944606415,1.9202241713294508,True
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7958823529411765,0.5,18.0,396,339.97273398437505,membership_weighted_mass_posterior_soft_bins,2583.100986005427,2337.1013987246015,2191.2182928656957,2484.116259661297,2061.2092251809463,2637.0509088569343,10.63504103900345,5,0.059115929230683095,0.14285714285714288,0.7871720116618076,2.2434758669336547,True
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8067391304347826,0.5,18.0,344,271.6458453125,membership_weighted_mass_posterior_soft_bins,3059.0592803433065,2638.9174162539266,2450.5920750491414,2831.578147115777,2270.0032077415344,3034.726924487819,16.77743011160318,5,0.00494183444818368,-0.6571428571428573,0.1561749271137024,3.161769011134951,False
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.792608695652174,0.5,18.0,325,262.3441078125,membership_weighted_mass_posterior_soft_bins,3158.490466455656,2704.7662547976315,2500.8829623425677,2908.5030495577903,2309.1697804899954,3120.2976823584922,11.149890856209131,5,0.04848776192303623,-0.028571428571428574,0.9571545189504373,2.4034552104066997,True
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.7965441176470588,0.5,18.0,397,341.93970078125005,membership_weighted_mass_posterior_soft_bins,1266.685115944775,1209.766154397749,1144.9396747680346,1279.214167843149,1082.980696194679,1351.798101106579,8.163244916823361,5,0.147465399606553,-0.6571428571428573,0.1561749271137024,2.0351556179532557,True
