family,R_V,alpha,k_total_median,k_total_lo68,k_total_hi68,primary_system_mass_median_Msun,primary_system_mass_lo68_Msun,primary_system_mass_hi68_Msun,multiplicity_adjusted_mass_median_Msun,multiplicity_adjusted_mass_lo68_Msun,multiplicity_adjusted_mass_hi68_Msun,companion_mass_fraction,literature_mass_Msun,within_factor_two_literature
PARSEC,3.0,2.0,3556.7201469225015,3430.2584707575024,3687.1193166780463,23165.372098898624,22341.711067499396,24014.67852841583,28114.45989714685,27114.830582441507,29145.213534563518,0.17603353634940277,16500.0,True
PARSEC,3.0,2.3,5120.2432960229,4924.768216053253,5321.081900459432,23462.1275321136,22566.415943728673,24382.416018077096,28362.9197652653,27280.111060922212,29475.439013681837,0.17278870700587964,16500.0,True
PARSEC,3.0,2.6,7180.069495265776,6865.489413106961,7505.953460650124,28697.96030247338,27440.617777349493,30000.483224846077,34561.42238547983,33047.18424325594,36130.0720181512,0.1696533787761539,16500.0,False
PARSEC,3.1,2.0,3654.822291847433,3527.700467152497,3785.3746041624636,23804.323885097634,22976.363222098265,24654.627751643362,28889.918382881962,27885.07085628352,29921.882551397324,0.17603353634940277,16500.0,True
PARSEC,3.1,2.3,5268.641068345949,5075.578260170371,5465.444832505814,24142.120114190577,23257.462107677144,25043.920037859305,29184.949865477927,28115.503626039656,30275.118642556186,0.17278870700587964,16500.0,True
PARSEC,3.1,2.6,7380.163498706654,7082.859928967682,7685.042225407373,29497.714367708475,28309.424191996626,30716.281625545576,35524.57927056036,34093.50200073245,36992.119724980534,0.1696533787761539,16500.0,False
PARSEC,3.5,2.0,3911.6783913732197,3768.225080121534,4056.166265576205,25477.260432139446,24542.93071355312,26418.32839122168,30920.263816638864,29786.32237629582,32062.38306614426,0.17603353634940277,16500.0,True
PARSEC,3.5,2.3,5696.863933876208,5475.470044481882,5924.097671054703,26104.33536498579,25089.857855326234,27145.572394761646,31557.034564289163,30330.65199643565,32815.766207092376,0.17278870700587964,16500.0,True
PARSEC,3.5,2.6,8070.041742654525,7724.561226656794,8438.960170754379,32255.083007581674,30874.234794355027,33729.610017583625,38845.32336633222,37182.34530640898,40621.12033149437,0.1696533787761539,16500.0,False
MIST,3.0,2.0,3454.5085939808705,3330.1179713356273,3581.005865268944,22499.655213990518,21689.483218399568,23323.548080967717,27306.518173452612,26323.259714119853,28306.428853466132,0.17603353634940277,16500.0,True
MIST,3.0,2.3,4956.627368957101,4768.648739564236,5145.201249998094,22712.401879411802,21851.04074457022,23576.49059364262,27456.5906821744,26415.30758783479,28501.171095363894,0.17278870700587964,16500.0,True
MIST,3.0,2.6,6929.237827621701,6631.71269841977,7219.871840689622,27695.41328737845,26506.23756248399,28857.04596726702,33354.038638175276,31921.894887000934,34753.01185032183,0.1696533787761539,16500.0,False
MIST,3.1,2.0,3511.8788872343266,3384.78044558407,3635.693554258579,22873.3152535045,22045.506887258445,23679.73597665299,27760.007551962604,26755.344859043722,28738.713310902876,0.17603353634940277,16500.0,True
MIST,3.1,2.3,5040.8443324632235,4848.5675273745555,5231.0784185431185,23098.303295401696,22217.246935060048,23969.999449377116,27923.099564799915,26858.00728692175,28976.876467216563,0.17278870700587964,16500.0,True
MIST,3.1,2.6,7037.113091275813,6732.329756623167,7335.552907986537,28126.579035287406,26908.393049137238,29319.410667110602,33873.29859165526,32406.21730895589,35309.84521126465,0.1696533787761539,16500.0,False
MIST,3.5,2.0,3858.44904831457,3716.6636058433355,4003.3573930677235,25130.57092956487,24207.10425313965,26074.37746698582,30499.507004476192,29378.749404301805,31644.949906653794,0.17603353634940277,16500.0,True
MIST,3.5,2.3,5609.148918824275,5391.699767826195,5831.7881124658825,25702.40507561297,24706.003260794998,26722.588854560294,31071.148681471946,29866.61747734457,32304.42944974426,0.17278870700587964,16500.0,True
MIST,3.5,2.6,7910.64445282864,7557.1089509708345,8260.929039477345,31617.989299956527,30204.94618045469,33018.0388633822,38078.06100704648,36376.310095578745,39764.163566676514,0.1696533787761539,16500.0,False
